SEF	1.0.0
ID	Zurich_Feer
Name	Zürich
Lat	47.37351
Lon	8.54797
Alt	435
Source	GCOS
Link	
Vbl	ta
Stat	mean
Units	C
Meta	Observer=Feer|QC software=dataresqc v1.1.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1807	1	1	24	0	day	0.9	
1807	1	2	24	0	day	-2.5	
1807	1	3	24	0	day	-2.4	
1807	1	4	24	0	day	-2.8	
1807	1	6	24	0	day	-1	
1807	1	7	24	0	day	-2.3	
1807	1	8	24	0	day	-0.2	
1807	1	9	24	0	day	-3.7	
1807	1	10	24	0	day	-4.2	
1807	1	11	24	0	day	-3.8	
1807	1	12	24	0	day	-4.1	
1807	1	13	24	0	day	0.6	
1807	1	14	24	0	day	-1	
1807	1	15	24	0	day	-3.7	
1807	1	16	24	0	day	0.8	
1807	1	17	24	0	day	3.6	
1807	1	18	24	0	day	4.7	
1807	1	19	24	0	day	0.3	
1807	1	20	24	0	day	1.2	
1807	1	21	24	0	day	-0.8	
1807	1	22	24	0	day	-0.6	
1807	1	23	24	0	day	1.8	
1807	1	24	24	0	day	-0.2	
1807	1	25	24	0	day	-2.3	
1807	1	26	24	0	day	-2.4	
1807	1	27	24	0	day	-1.6	
1807	1	28	24	0	day	-2.1	
1807	1	29	24	0	day	-6.4	
1807	1	30	24	0	day	-7.4	
1807	1	31	24	0	day	-8.8	
1807	2	1	24	0	day	-7.8	
1807	2	2	24	0	day	-5.4	
1807	2	3	24	0	day	-4.3	
1807	2	4	24	0	day	1.3	
1807	2	5	24	0	day	4.3	
1807	2	6	24	0	day	4	
1807	2	7	24	0	day	1.2	
1807	2	8	24	0	day	1.3	
1807	2	9	24	0	day	4.5	
1807	2	10	24	0	day	3.5	
1807	2	11	24	0	day	5.6	
1807	2	12	24	0	day	7.3	
1807	2	13	24	0	day	2.6	
1807	2	14	24	0	day	5.2	
1807	2	15	24	0	day	4.3	
1807	2	16	24	0	day	5	
1807	2	17	24	0	day	5.6	
1807	2	18	24	0	day	1.8	
1807	2	19	24	0	day	-2.2	
1807	2	20	24	0	day	-5.2	
1807	2	21	24	0	day	0.4	
1807	2	22	24	0	day	4.7	
1807	2	23	24	0	day	8.2	
1807	2	24	24	0	day	9	
1807	2	25	24	0	day	10.4	
1807	2	26	24	0	day	10.8	
1807	2	27	24	0	day	2.9	
1807	2	28	24	0	day	-0.5	
1807	3	1	24	0	day	2.5	
1807	3	2	24	0	day	0.9	
1807	3	3	24	0	day	0.8	
1807	3	4	24	0	day	3.4	
1807	3	5	24	0	day	2.1	
1807	3	6	24	0	day	-0.5	
1807	3	7	24	0	day	-2.6	
1807	3	8	24	0	day	-3.7	
1807	3	9	24	0	day	-0.8	
1807	3	10	24	0	day	-3	
1807	3	11	24	0	day	1.1	
1807	3	12	24	0	day	2.6	
1807	3	13	24	0	day	3.3	
1807	3	14	24	0	day	3.9	
1807	3	15	24	0	day	1.6	
1807	3	16	24	0	day	-1.6	
1807	3	18	24	0	day	4.2	
1807	3	19	24	0	day	8.4	
1807	3	20	24	0	day	7.8	
1807	3	21	24	0	day	8.7	
1807	3	22	24	0	day	5.6	
1807	3	23	24	0	day	1.4	
1807	3	24	24	0	day	0.6	
1807	3	25	24	0	day	-0.6	
1807	3	26	24	0	day	0.2	
1807	3	28	24	0	day	3.2	
1807	3	29	24	0	day	2.6	
1807	3	30	24	0	day	2.1	
1807	3	31	24	0	day	3.2	
1807	4	1	24	0	day	4.8	
1807	4	2	24	0	day	2.7	
1807	4	3	24	0	day	2.8	
1807	4	4	24	0	day	1.7	
1807	4	5	24	0	day	3.4	
1807	4	6	24	0	day	5.3	
1807	4	7	24	0	day	4.9	
1807	4	8	24	0	day	5.6	
1807	5	8	24	0	day	12.6	
1807	5	9	24	0	day	15.1	
1807	5	10	24	0	day	11.1	
1807	5	12	24	0	day	11.2	
1807	5	13	24	0	day	13.6	
1807	5	14	24	0	day	14.5	
1807	5	15	24	0	day	17	
1807	5	16	24	0	day	19.2	
1807	5	17	24	0	day	20.2	
1807	5	18	24	0	day	20.8	
1807	5	19	24	0	day	15	
