SEF	1.0.0
ID	Zurich_Hirzel
Name	Zürich
Lat	47.37209
Lon	8.54034
Alt	420
Source	GCOS
Link	
Vbl	ta
Stat	mean
Units	C
Meta	Observer=Hirzel|QC software=dataresqc v1.1.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1761	1	1	24	0	day	6	
1761	1	2	24	0	day	6.5	
1761	1	3	24	0	day	5.1	
1761	1	4	24	0	day	5.6	
1761	1	5	24	0	day	4.4	
1761	1	6	24	0	day	1.7	
1761	1	7	24	0	day	2.2	
1761	1	8	24	0	day	2.5	
1761	1	9	24	0	day	-0.2	
1761	1	10	24	0	day	0.1	
1761	1	11	24	0	day	-0.4	
1761	1	12	24	0	day	-0.4	
1761	1	13	24	0	day	-4.2	
1761	1	14	24	0	day	-1.2	
1761	1	15	24	0	day	-2.6	
1761	1	16	24	0	day	-0.6	
1761	1	17	24	0	day	1.4	
1761	1	18	24	0	day	-3.5	
1761	1	19	24	0	day	-5.5	
1761	1	20	24	0	day	-7.3	
1761	1	21	24	0	day	-5.5	
1761	1	22	24	0	day	-5.1	
1761	1	23	24	0	day	-6.7	
1761	1	24	24	0	day	-5	
1761	1	25	24	0	day	-5.9	
1761	1	26	24	0	day	-5.5	
1761	1	27	24	0	day	-5.8	
1761	1	28	24	0	day	-5.8	
1761	1	30	24	0	day	-5.8	
1761	1	31	24	0	day	-6.4	
1761	2	1	24	0	day	-5.8	
1761	2	2	24	0	day	-0.7	
1761	2	3	24	0	day	4.4	
1761	2	4	24	0	day	2.1	
1761	2	5	24	0	day	-0.9	
1761	2	6	24	0	day	-1.6	
1761	2	7	24	0	day	1.5	
1761	2	8	24	0	day	3.2	
1761	2	9	24	0	day	3.3	
1761	2	10	24	0	day	2.6	
1761	2	11	24	0	day	1.7	
1761	2	12	24	0	day	-2.1	
1761	2	13	24	0	day	2.3	
1761	2	14	24	0	day	5.7	
1761	2	15	24	0	day	5.6	
1761	2	16	24	0	day	8.4	
1761	2	17	24	0	day	5.5	
1761	2	18	24	0	day	5	
1761	2	19	24	0	day	4.7	
1761	2	20	24	0	day	6.3	
1761	2	21	24	0	day	8.8	
1761	2	22	24	0	day	10.2	
1761	2	23	24	0	day	9.3	
1761	2	24	24	0	day	4	
1761	2	25	24	0	day	3.5	
1761	2	26	24	0	day	6.8	
1761	2	27	24	0	day	7	
1761	2	28	24	0	day	5.8	
1761	3	1	24	0	day	7.2	
1761	3	2	24	0	day	7.3	
1761	3	3	24	0	day	7.1	
1761	3	4	24	0	day	9.3	
1761	3	5	24	0	day	8.4	
1761	3	6	24	0	day	6.9	
1761	3	7	24	0	day	5.9	
1761	3	8	24	0	day	6.3	
1761	3	9	24	0	day	5.9	
1761	3	10	24	0	day	6.8	
1761	3	11	24	0	day	8.2	
1761	3	12	24	0	day	9.9	
1761	3	13	24	0	day	9.2	
1761	3	14	24	0	day	NA	
1761	3	15	24	0	day	6.6	
1761	3	16	24	0	day	7.3	
1761	3	17	24	0	day	7.8	
1761	3	18	24	0	day	6.8	
1761	3	19	24	0	day	7.9	
1761	3	20	24	0	day	8.1	
1761	3	21	24	0	day	7.5	
1761	3	22	24	0	day	7.5	
1761	3	23	24	0	day	8.8	
1761	3	24	24	0	day	9.6	
1761	3	25	24	0	day	8.6	
1761	3	26	24	0	day	7.9	
1761	3	27	24	0	day	8	
1761	3	28	24	0	day	6.5	
1761	3	29	24	0	day	6.3	
1761	3	30	24	0	day	7.9	
1761	3	31	24	0	day	8.9	
1761	4	1	24	0	day	8.6	
1761	4	2	24	0	day	9.2	
1761	4	3	24	0	day	10.4	
1761	4	4	24	0	day	8.6	
1761	4	5	24	0	day	8.5	
1761	4	6	24	0	day	9	
1761	4	7	24	0	day	10.9	
1761	4	8	24	0	day	11	
1761	4	9	24	0	day	11.4	
1761	4	10	24	0	day	9.9	
1761	4	11	24	0	day	7.7	
1761	4	12	24	0	day	9.4	
1761	4	13	24	0	day	10.6	
1761	4	14	24	0	day	9.9	
1761	4	15	24	0	day	10.8	
1761	4	16	24	0	day	12.1	
1761	4	17	24	0	day	12.9	
1761	4	18	24	0	day	14	
1761	4	19	24	0	day	14.3	
1761	4	20	24	0	day	14.3	
1761	4	21	24	0	day	13	
1761	4	22	24	0	day	12.7	
1761	4	23	24	0	day	10.3	
1761	4	24	24	0	day	5.6	
1761	4	25	24	0	day	6.2	
1761	4	26	24	0	day	7.1	
1761	4	27	24	0	day	11	
1761	4	28	24	0	day	10.7	
1761	4	29	24	0	day	7	
1761	4	30	24	0	day	9.4	
1761	5	1	24	0	day	11.3	
1761	5	2	24	0	day	13.2	
1761	5	3	24	0	day	14.7	
1761	5	4	24	0	day	15.9	
1761	5	5	24	0	day	17.1	
1761	5	6	24	0	day	15.6	
1761	5	7	24	0	day	14.9	
1761	5	8	24	0	day	15	
1761	5	9	24	0	day	14.8	
1761	5	10	24	0	day	13	
1761	5	11	24	0	day	10.9	
1761	5	12	24	0	day	16	
1761	5	13	24	0	day	14.5	
1761	5	14	24	0	day	15	
1761	5	15	24	0	day	12.8	
1761	5	16	24	0	day	13.9	
1761	5	17	24	0	day	12.4	
1761	5	18	24	0	day	14.2	
1761	5	19	24	0	day	14.8	
1761	5	20	24	0	day	14.8	
1761	5	21	24	0	day	18.2	
1761	5	22	24	0	day	19.7	
1761	5	23	24	0	day	19.6	
1761	5	24	24	0	day	18.9	
1761	5	25	24	0	day	20.7	
1761	5	26	24	0	day	21.9	
1761	5	27	24	0	day	20.5	
1761	5	28	24	0	day	18.1	
1761	5	29	24	0	day	17.7	
1761	5	30	24	0	day	19.3	
1761	5	31	24	0	day	15.5	
1761	6	1	24	0	day	14.4	
1761	6	2	24	0	day	15.1	
1761	6	3	24	0	day	14	
1761	6	4	24	0	day	14.6	
1761	6	5	24	0	day	17.3	
1761	6	6	24	0	day	16.5	
1761	6	7	24	0	day	15.7	
1761	6	8	24	0	day	17.3	
1761	6	9	24	0	day	17.2	
1761	6	10	24	0	day	17.8	
1761	6	11	24	0	day	18.6	
1761	6	12	24	0	day	17.7	
1761	6	13	24	0	day	17.6	
1761	6	14	24	0	day	15.7	
1761	6	15	24	0	day	14.5	
1761	6	16	24	0	day	15.7	
1761	6	17	24	0	day	13.1	
1761	6	18	24	0	day	14.9	
1761	6	19	24	0	day	16.5	
1761	6	20	24	0	day	18.1	
1761	6	21	24	0	day	19.2	
1761	6	22	24	0	day	20.9	
1761	6	23	24	0	day	21.8	
1761	6	24	24	0	day	22.9	
1761	6	25	24	0	day	22.5	
1761	6	26	24	0	day	24.1	
1761	6	27	24	0	day	22.8	
1761	6	28	24	0	day	21	
1761	6	29	24	0	day	18.7	
1761	6	30	24	0	day	21.1	
1761	7	1	24	0	day	21.6	
1761	7	2	24	0	day	23.1	
1761	7	3	24	0	day	20	
1761	7	4	24	0	day	17.2	
1761	7	5	24	0	day	16.7	
1761	7	6	24	0	day	17.9	
1761	7	7	24	0	day	20.5	
1761	7	8	24	0	day	19.4	
