SEF	1.0.0
ID	Zurich_Hirzel
Name	Zürich
Lat	47.4
Lon	8.5
Alt	NA
Source	GCOS
Link	NA
Vbl	ta
Stat	mean
Units	C
Meta	Observer=Hirzel
Year	Month	Day	Hour	Minute	Period	Value	Meta
1795	1	1	24	0	day	-3.9	
1795	1	2	24	0	day	-9.3	
1795	1	3	24	0	day	-6.5	
1795	1	4	24	0	day	-6.4	
1795	1	5	24	0	day	-6.5	
1795	1	6	24	0	day	0.3	
1795	1	7	24	0	day	1.9	
1795	1	8	24	0	day	1.5	
1795	1	9	24	0	day	0	
1795	1	10	24	0	day	-2.2	
1795	1	11	24	0	day	-5.6	
1795	1	12	24	0	day	-2.5	
1795	1	13	24	0	day	-7.6	
1795	1	14	24	0	day	-11	
1795	1	15	24	0	day	-10.8	
1795	1	16	24	0	day	-9.6	
1795	1	17	24	0	day	-6.5	
1795	1	18	24	0	day	-8.2	
1795	1	19	24	0	day	-6.4	
1795	1	20	24	0	day	-7.6	
1795	1	21	24	0	day	-8.7	
1795	1	22	24	0	day	-6.1	
1795	1	23	24	0	day	-5.6	
1795	1	24	24	0	day	-9.5	
1795	1	25	24	0	day	-15.8	
1795	1	26	24	0	day	-10.6	
1795	1	27	24	0	day	4.4	
1795	1	28	24	0	day	6.4	
1795	1	29	24	0	day	0.8	
1795	1	30	24	0	day	-4	
1795	1	31	24	0	day	-6.9	
1795	2	1	24	0	day	-3.6	
1795	2	2	24	0	day	3.6	
1795	2	3	24	0	day	1.6	
1795	2	4	24	0	day	0.1	
1795	2	5	24	0	day	2.2	
1795	2	6	24	0	day	4.2	
1795	2	7	24	0	day	3.1	
1795	2	8	24	0	day	4.6	
1795	2	9	24	0	day	8	
1795	2	10	24	0	day	7.4	
1795	2	11	24	0	day	9.7	
1795	2	12	24	0	day	8.7	
1795	2	13	24	0	day	7.9	
1795	2	14	24	0	day	4	
1795	2	15	24	0	day	-1.6	
1795	2	16	24	0	day	-2.4	
1795	2	17	24	0	day	-2.9	
1795	2	18	24	0	day	-4.7	
1795	2	19	24	0	day	-3.5	
1795	2	20	24	0	day	-2	
1795	2	21	24	0	day	-3.4	
1795	2	22	24	0	day	1.1	
1795	2	23	24	0	day	5.9	
1795	2	24	24	0	day	3.9	
1795	2	25	24	0	day	5	
1795	2	26	24	0	day	5.3	
1795	2	27	24	0	day	6.5	
1795	2	28	24	0	day	4.5	
1795	3	1	24	0	day	3.6	
1795	3	2	24	0	day	-2.6	
1795	3	3	24	0	day	-1.3	
1795	3	4	24	0	day	1.8	
1795	3	5	24	0	day	6.1	
1795	3	6	24	0	day	6.9	
1795	3	7	24	0	day	6.1	
1795	3	8	24	0	day	3.2	
1795	3	9	24	0	day	1.3	
1795	3	10	24	0	day	1.4	
1795	3	11	24	0	day	5.4	
1795	3	12	24	0	day	6.4	
1795	3	13	24	0	day	9.9	
1795	3	14	24	0	day	6.6	
1795	3	15	24	0	day	4.9	
1795	3	16	24	0	day	7.2	
1795	3	17	24	0	day	6.2	
1795	3	18	24	0	day	5.1	
1795	3	19	24	0	day	4.3	
1795	3	20	24	0	day	3.3	
1795	3	21	24	0	day	5	
1795	3	22	24	0	day	5.1	
1795	3	23	24	0	day	4.7	
1795	3	24	24	0	day	4.9	
1795	3	25	24	0	day	7	
1795	3	26	24	0	day	7.3	
1795	3	27	24	0	day	7.1	
1795	3	28	24	0	day	7.8	
1795	3	29	24	0	day	7.3	
1795	3	30	24	0	day	8	
1795	3	31	24	0	day	7.3	
1795	4	1	24	0	day	7.6	
1795	4	2	24	0	day	9.5	
1795	4	3	24	0	day	9.2	
1795	4	4	24	0	day	8	
1795	4	5	24	0	day	9	
1795	4	6	24	0	day	10.7	
1795	4	7	24	0	day	9.7	
1795	4	8	24	0	day	8.8	
1795	4	9	24	0	day	9.4	
1795	4	10	24	0	day	10.9	
1795	4	11	24	0	day	11	
1795	4	12	24	0	day	11.4	
1795	4	13	24	0	day	9.4	
1795	4	14	24	0	day	10.4	
1795	4	15	24	0	day	9.8	
1795	4	16	24	0	day	10.8	
1795	4	17	24	0	day	12.3	
1795	4	18	24	0	day	10.7	
1795	4	19	24	0	day	11.1	
1795	4	20	24	0	day	10.5	
1795	4	21	24	0	day	11.7	
1795	4	22	24	0	day	8.5	
1795	4	23	24	0	day	7.9	
1795	4	24	24	0	day	9.8	
1795	4	25	24	0	day	12.1	
1795	4	26	24	0	day	12.8	
1795	4	27	24	0	day	13.5	
1795	4	28	24	0	day	15	
1795	4	29	24	0	day	17	
1795	4	30	24	0	day	16.2	
1795	5	1	24	0	day	16.9	
1795	5	2	24	0	day	17.2	
1795	5	3	24	0	day	14.6	
1795	5	4	24	0	day	17.3	
1795	5	5	24	0	day	19	
1795	5	6	24	0	day	18.8	
1795	5	7	24	0	day	17.3	
1795	5	8	24	0	day	15.3	
1795	5	9	24	0	day	9.3	
1795	5	10	24	0	day	10.6	
1795	5	11	24	0	day	12	
1795	5	12	24	0	day	7.5	
1795	5	13	24	0	day	9.9	
1795	5	14	24	0	day	11.3	
1795	5	15	24	0	day	11.3	
1795	5	16	24	0	day	15.7	
1795	5	17	24	0	day	18.5	
1795	5	18	24	0	day	15.3	
1795	5	19	24	0	day	17.9	
1795	5	20	24	0	day	16.4	
1795	5	21	24	0	day	17.4	
1795	5	22	24	0	day	17.6	
1795	5	23	24	0	day	18.3	
1795	5	24	24	0	day	18.3	
