SEF	1.0.0
ID	Zurich_Hofmeister
Name	Zürich
Lat	47.37318
Lon	8.54759
Alt	430
Source	GCOS
Link	
Vbl	ta
Stat	mean
Units	C
Meta	Observer=Hofmeister|QC software=dataresqc v1.1.0|QC software=dataresqc v1.1.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1834	9	10	24	0	day	17.7	
1834	9	11	24	0	day	17.6	
1834	9	12	24	0	day	20.1	
1834	9	13	24	0	day	18.2	
1834	9	16	24	0	day	14.9	
1834	9	20	24	0	day	17.7	
1834	10	1	24	0	day	13.6	
1834	10	10	24	0	day	11.3	
1834	10	23	24	0	day	11.2	
1834	11	2	24	0	day	1.3	
1834	11	11	24	0	day	5.2	
1834	11	12	24	0	day	6.1	
1834	11	13	24	0	day	1.6	
1834	11	14	24	0	day	-0.1	
1834	11	15	24	0	day	-0.5	
1834	11	16	24	0	day	1.2	
1834	11	17	24	0	day	2.9	
1834	11	18	24	0	day	5.4	
1834	11	19	24	0	day	0.3	
1834	11	20	24	0	day	-2.1	
1834	11	21	24	0	day	-0.2	
1834	11	22	24	0	day	1.4	
1834	11	23	24	0	day	6	
1834	11	24	24	0	day	6.5	
1834	11	25	24	0	day	5.6	
1834	11	26	24	0	day	6.9	
1834	11	27	24	0	day	7.1	
1834	11	28	24	0	day	5	
1834	11	29	24	0	day	6.4	
1834	11	30	24	0	day	6.8	
1834	12	1	24	0	day	5.5	
1834	12	2	24	0	day	7.6	
1834	12	3	24	0	day	7	
1834	12	4	24	0	day	4.8	
1834	12	5	24	0	day	1.4	
1834	12	6	24	0	day	-0.6	
1834	12	7	24	0	day	-0.2	
1834	12	8	24	0	day	2.9	
1834	12	9	24	0	day	2.1	
1834	12	10	24	0	day	3.4	
1834	12	11	24	0	day	0.7	
1834	12	12	24	0	day	2	
1834	12	13	24	0	day	-0.6	
1834	12	14	24	0	day	-1.7	
1834	12	15	24	0	day	-1.8	
1834	12	16	24	0	day	-1.7	
1834	12	17	24	0	day	0.4	
1834	12	18	24	0	day	1	
1834	12	19	24	0	day	-0.4	
1834	12	20	24	0	day	-1.4	
1834	12	21	24	0	day	-2.4	
1834	12	22	24	0	day	0.7	
1834	12	23	24	0	day	1.4	
1834	12	24	24	0	day	0.6	
1834	12	25	24	0	day	-4.6	
1834	12	26	24	0	day	0.2	
1834	12	27	24	0	day	-1.9	
1834	12	28	24	0	day	-3.5	
1834	12	29	24	0	day	-5.3	
1834	12	30	24	0	day	-4.2	
1834	12	31	24	0	day	-2.4	
1835	1	1	24	0	day	3.2	
1835	1	2	24	0	day	3.9	
1835	1	3	24	0	day	-1.5	
1835	1	4	24	0	day	-1.1	
1835	1	5	24	0	day	-3.3	
1835	1	6	24	0	day	-4.7	
1835	1	7	24	0	day	-4	
1835	1	8	24	0	day	0.7	
1835	1	9	24	0	day	3.2	
1835	1	10	24	0	day	8.3	
1835	1	11	24	0	day	7.6	
1835	1	12	24	0	day	6.1	
1835	1	13	24	0	day	2.9	
1835	1	14	24	0	day	2.1	
1835	1	15	24	0	day	1.8	
1835	1	16	24	0	day	0.2	
1835	1	17	24	0	day	4	
1835	1	18	24	0	day	1.9	
1835	1	19	24	0	day	3	
1835	1	20	24	0	day	2.7	
1835	1	21	24	0	day	-1	
1835	1	22	24	0	day	-2.4	
1835	1	23	24	0	day	-3.7	
1835	1	24	24	0	day	-3.3	
1835	1	25	24	0	day	1.7	
1835	1	26	24	0	day	1.2	
1835	1	27	24	0	day	2.1	
1835	1	28	24	0	day	-0.5	
1835	1	29	24	0	day	-1.6	
1835	1	30	24	0	day	-3.3	
1835	1	31	24	0	day	-1.2	
1835	2	1	24	0	day	-3.7	
1835	2	2	24	0	day	-3	
1835	2	3	24	0	day	2.4	
1835	2	4	24	0	day	5.1	
1835	2	5	24	0	day	4.6	
1835	2	6	24	0	day	1.6	
1835	2	7	24	0	day	2	
1835	2	8	24	0	day	8.8	
1835	2	9	24	0	day	2.5	
1835	2	10	24	0	day	0.3	
1835	2	11	24	0	day	-0.3	
1835	2	12	24	0	day	-3.2	
1835	2	13	24	0	day	-0.7	
1835	2	14	24	0	day	2.3	
1835	2	15	24	0	day	3.8	
1835	2	16	24	0	day	5	
1835	2	17	24	0	day	4	
1835	2	18	24	0	day	2.2	
1835	2	19	24	0	day	3	
1835	2	20	24	0	day	3	
1835	2	21	24	0	day	6	
1835	2	22	24	0	day	4	
1835	2	23	24	0	day	7.5	
1835	2	24	24	0	day	6.7	
1835	2	25	24	0	day	5.7	
1835	2	26	24	0	day	6.4	
1835	2	27	24	0	day	7.4	
1835	2	28	24	0	day	7.5	
1835	3	1	24	0	day	4.5	
1835	3	2	24	0	day	4	
1835	3	3	24	0	day	5.4	
1835	3	4	24	0	day	4	
1835	3	5	24	0	day	2.4	
1835	3	6	24	0	day	2.9	
1835	3	7	24	0	day	6.4	
1835	3	8	24	0	day	2.2	
1835	3	9	24	0	day	3.2	
1835	3	10	24	0	day	3.5	
1835	3	11	24	0	day	2.1	
1835	3	12	24	0	day	5.1	
1835	3	13	24	0	day	7.1	
1835	3	14	24	0	day	7.9	
1835	3	15	24	0	day	8.1	
1835	3	16	24	0	day	4.9	
1835	3	17	24	0	day	4.6	
1835	3	18	24	0	day	6.4	
1835	3	19	24	0	day	5.2	
1835	3	20	24	0	day	3.7	
1835	3	21	24	0	day	1.7	
1835	3	22	24	0	day	2.2	
1835	3	23	24	0	day	3.2	
1835	3	24	24	0	day	2.8	
1835	3	25	24	0	day	3.9	
1835	3	26	24	0	day	5.6	
1835	3	27	24	0	day	7.3	
1835	3	28	24	0	day	6.6	
1835	3	29	24	0	day	7.3	
1835	3	30	24	0	day	8.7	
1835	3	31	24	0	day	11.2	
1835	4	1	24	0	day	12.8	
1835	4	2	24	0	day	11.3	
1835	4	3	24	0	day	12.5	
1835	4	4	24	0	day	10.8	
1835	4	5	24	0	day	10.8	
1835	4	6	24	0	day	9	
1835	4	7	24	0	day	8.5	
1835	4	8	24	0	day	9	
1835	4	9	24	0	day	11	
1835	4	10	24	0	day	12	
1835	4	11	24	0	day	6.7	
1835	4	12	24	0	day	7.1	
1835	4	13	24	0	day	8.3	
1835	4	14	24	0	day	10.2	
1835	4	15	24	0	day	12.7	
1835	4	16	24	0	day	8	
1835	4	17	24	0	day	2.2	
1835	4	18	24	0	day	3.5	
1835	4	19	24	0	day	12.7	
1835	4	20	24	0	day	5.9	
1835	4	21	24	0	day	5.3	
1835	5	8	24	0	day	13.4	
1835	5	9	24	0	day	14	
1835	5	10	24	0	day	14.7	
1835	5	11	24	0	day	13.8	
1835	5	12	24	0	day	14.3	
1835	5	13	24	0	day	13.9	
1835	5	14	24	0	day	15.6	
1835	5	15	24	0	day	14.6	
1835	5	16	24	0	day	13.1	
1835	5	17	24	0	day	14.9	
1835	5	18	24	0	day	18.1	
1835	5	19	24	0	day	18.3	
1835	5	20	24	0	day	18	
1835	5	21	24	0	day	19.2	
1835	5	22	24	0	day	16.5	
1835	5	23	24	0	day	13.9	
