SEF	1.0.0
ID	Zurich_Horner
Name	Zürich
Lat	47.37161
Lon	8.53835
Alt	420
Source	GCOS
Link	
Vbl	ta
Stat	mean
Units	C
Meta	Observer=Horner | Address=Haus zum Mühlestein|QC software=dataresqc v1.1.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1823	6	27	24	0	day	17.1	
1823	6	28	24	0	day	14.5	
1823	6	29	24	0	day	17.6	
1823	6	30	24	0	day	20.2	
1823	7	1	24	0	day	18.9	
1823	7	2	24	0	day	17.3	
1823	7	3	24	0	day	16.9	
1823	7	4	24	0	day	14.8	
1823	7	5	24	0	day	15	
1823	7	6	24	0	day	18.9	
1823	7	7	24	0	day	18.6	
1823	7	8	24	0	day	17	
1823	7	9	24	0	day	16.6	
1823	7	10	24	0	day	17.2	
1823	7	11	24	0	day	18.6	
1823	7	12	24	0	day	20.6	
1823	7	13	24	0	day	22.6	
1823	7	14	24	0	day	23.4	
1823	7	15	24	0	day	19.7	
1823	7	16	24	0	day	18.9	
1823	7	17	24	0	day	12.9	
1823	7	18	24	0	day	14.6	
1823	7	19	24	0	day	15.3	
1823	8	26	24	0	day	23	
1823	8	27	24	0	day	21.3	
1823	8	28	24	0	day	21.2	
1823	8	29	24	0	day	21	
1823	8	30	24	0	day	21.8	
1823	8	31	24	0	day	17.9	
1823	9	1	24	0	day	18.1	
1823	9	2	24	0	day	18.4	
1823	9	3	24	0	day	18.9	
1823	9	4	24	0	day	17.1	
1823	9	5	24	0	day	19.8	
1823	9	6	24	0	day	18.1	
1823	9	7	24	0	day	15.1	
1823	9	8	24	0	day	13.2	
1823	9	9	24	0	day	12.6	
1823	9	10	24	0	day	14.4	
1823	9	11	24	0	day	14.8	
1823	9	12	24	0	day	14.9	
1823	9	13	24	0	day	17.2	
1823	9	14	24	0	day	19.6	
1823	9	15	24	0	day	19.7	
1823	9	16	24	0	day	15.5	
1823	9	17	24	0	day	14.2	
1823	9	18	24	0	day	15.1	
1823	9	19	24	0	day	16.4	
1823	9	20	24	0	day	16.7	
1823	9	21	24	0	day	14.8	
1823	9	22	24	0	day	13.6	
1823	9	23	24	0	day	10.2	
1823	9	24	24	0	day	9.7	
1823	9	25	24	0	day	12.4	
1823	9	26	24	0	day	11.1	
1823	9	27	24	0	day	13.8	
1823	9	28	24	0	day	13.2	
1823	9	29	24	0	day	14.4	
1823	9	30	24	0	day	14.9	
1823	10	1	24	0	day	17	
1825	6	25	24	0	day	27.9	
1825	6	26	24	0	day	19.1	
1825	6	27	24	0	day	18.3	
1825	6	28	24	0	day	20.3	
1825	6	29	24	0	day	14.5	
1825	6	30	24	0	day	16.6	
1825	7	1	24	0	day	16.8	
1825	7	2	24	0	day	17.1	
1825	7	3	24	0	day	16.8	
1825	7	4	24	0	day	16.1	
1825	7	5	24	0	day	16.8	
1825	7	6	24	0	day	16	
1825	7	7	24	0	day	15.6	
1825	7	8	24	0	day	16.1	
1825	7	9	24	0	day	13.8	
1825	7	10	24	0	day	16.1	
1825	7	11	24	0	day	16.9	
1825	7	12	24	0	day	18.1	
1825	7	13	24	0	day	19.7	
1825	7	14	24	0	day	17.7	
1825	7	16	24	0	day	21.7	
1825	7	17	24	0	day	20.7	
1825	7	18	24	0	day	23.9	
1825	7	19	24	0	day	25	
1825	7	20	24	0	day	24.5	
1825	7	21	24	0	day	24.5	
1825	7	22	24	0	day	18.8	
1825	7	23	24	0	day	19.1	
1825	7	24	24	0	day	14.8	
1827	1	1	24	0	day	4.5	
1827	1	2	24	0	day	3	
1827	1	3	24	0	day	2	
1827	1	4	24	0	day	-2.4	
1827	1	5	24	0	day	-5	
1827	1	6	24	0	day	-3.5	
1827	1	7	24	0	day	-3	
1827	1	8	24	0	day	-1	
1827	1	9	24	0	day	5	
1827	1	10	24	0	day	3.2	
1827	1	11	24	0	day	5.2	
1827	1	12	24	0	day	2.8	
1827	1	13	24	0	day	1.6	
1827	1	14	24	0	day	2.2	
1827	1	15	24	0	day	0.2	
1827	1	16	24	0	day	0.8	
1827	1	17	24	0	day	1	
1827	1	18	24	0	day	-3.9	
1827	1	19	24	0	day	-3.9	
1827	1	20	24	0	day	-6	
1827	1	21	24	0	day	-4.5	
1827	1	22	24	0	day	-6	
1827	1	23	24	0	day	-6.2	
1827	1	24	24	0	day	-6.2	
1827	1	25	24	0	day	-7.6	
1827	1	26	24	0	day	2.2	
1827	1	27	24	0	day	2.4	
1827	1	28	24	0	day	0.8	
1827	1	29	24	0	day	0.6	
1827	1	30	24	0	day	-1.8	
1827	1	31	24	0	day	-1.8	
1827	2	1	24	0	day	0.9	
1827	2	2	24	0	day	3.1	
1827	2	3	24	0	day	-1.6	
1827	2	4	24	0	day	-3.2	
1827	2	5	24	0	day	-1.8	
1827	2	6	24	0	day	-2.5	
1827	2	7	24	0	day	-1.4	
1827	2	8	24	0	day	-6	
1827	2	9	24	0	day	-7.3	
1827	2	10	24	0	day	-4.4	
1827	2	11	24	0	day	-2.5	
1827	2	12	24	0	day	-0.2	
1827	2	13	24	0	day	-0.6	
1827	2	14	24	0	day	-1.4	
1827	2	15	24	0	day	-1.2	
1827	2	16	24	0	day	-4.7	
1827	2	17	24	0	day	-9.2	
1827	2	18	24	0	day	-10	
1827	2	19	24	0	day	-6.3	
1827	2	20	24	0	day	-1	
1827	2	21	24	0	day	1.4	
1827	2	22	24	0	day	1.2	
1827	2	23	24	0	day	-2.1	
1827	2	24	24	0	day	-4.8	
1827	2	25	24	0	day	-0.6	
1827	2	26	24	0	day	-4.2	
1827	2	27	24	0	day	6.1	
1827	2	28	24	0	day	5.2	
1827	3	1	24	0	day	11.1	
1827	3	2	24	0	day	11.1	
1827	3	3	24	0	day	8.1	
1827	3	4	24	0	day	5.8	
1827	3	5	24	0	day	3.8	
1827	3	6	24	0	day	3.4	
1827	3	7	24	0	day	9	
1827	3	8	24	0	day	8.7	
1827	3	9	24	0	day	5.8	
1827	3	10	24	0	day	5.3	
1827	3	11	24	0	day	4.1	
1827	3	12	24	0	day	9.5	
1827	3	13	24	0	day	8	
