SEF	1.0.0
ID	Zurich_Muralt
Name	Zürich
Lat	47.3738
Lon	8.53797
Alt	415
Source	GCOS
Link	
Vbl	ta
Stat	mean
Units	C
Meta	Observer=Muralt|QC software=dataresqc v1.1.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1770	1	1	24	0	day	-2.7	
1770	1	2	24	0	day	1.7	
1770	1	3	24	0	day	2.2	
1770	1	4	24	0	day	-8.2	
1770	1	5	24	0	day	1.2	
1770	1	6	24	0	day	-0.5	
1770	1	7	24	0	day	-3.8	
1770	1	8	24	0	day	-8.2	
1770	1	9	24	0	day	-7.1	
1770	1	10	24	0	day	-11.6	
1770	1	11	24	0	day	-11.6	
1770	1	12	24	0	day	-9.4	
1770	1	13	24	0	day	-3.7	
1770	1	14	24	0	day	-2.6	
1770	1	15	24	0	day	-1	
1770	1	16	24	0	day	0.7	
1770	1	17	24	0	day	2.9	
1770	1	18	24	0	day	0.7	
1770	1	19	24	0	day	-0.6	
1770	1	20	24	0	day	2.9	
1770	1	21	24	0	day	3.5	
1770	1	22	24	0	day	2.9	
1770	1	23	24	0	day	3.5	
1770	1	24	24	0	day	3.5	
1770	1	25	24	0	day	3.5	
1770	1	26	24	0	day	0.8	
1770	1	27	24	0	day	2	
1770	1	28	24	0	day	-1.4	
1770	1	29	24	0	day	1.4	
1770	1	30	24	0	day	3.6	
1770	1	31	24	0	day	2	
1770	2	1	24	0	day	7.3	
1770	2	2	24	0	day	5.7	
1770	2	3	24	0	day	3.1	
1770	2	4	24	0	day	2.1	
1770	2	5	24	0	day	2.1	
1770	2	6	24	0	day	4.2	
1770	2	7	24	0	day	1	
1770	2	8	24	0	day	2.1	
1770	2	9	24	0	day	-2.3	
1770	2	10	24	0	day	-3.4	
1770	2	11	24	0	day	-2.3	
1770	2	12	24	0	day	1.1	
1770	2	13	24	0	day	2.2	
1770	2	14	24	0	day	0	
1770	2	15	24	0	day	0	
1770	2	16	24	0	day	0.1	
1770	2	17	24	0	day	-3.3	
1770	2	18	24	0	day	4.4	
1770	2	19	24	0	day	4.9	
1770	2	20	24	0	day	3.4	
1770	2	21	24	0	day	2.4	
1770	2	22	24	0	day	3.4	
1770	2	23	24	0	day	0.2	
1770	2	24	24	0	day	-0.9	
1770	2	25	24	0	day	-2	
1770	2	26	24	0	day	-7.5	
