SEF	1.0.0
ID	Zurich_NGZ
Name	Zürich
Lat	47.37212
Lon	8.55008
Alt	442
Source	GCOS
Link	
Vbl	ta
Stat	mean
Units	C
Meta	Observer=Unknown|QC software=dataresqc v1.1.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1842	11	1	24	0	day	3	
1842	11	2	24	0	day	5.4	
1842	11	3	24	0	day	1.3	
1842	11	4	24	0	day	1	
1842	11	5	24	0	day	0.4	
1842	11	6	24	0	day	-1.3	
1842	11	7	24	0	day	-2.5	
1842	11	8	24	0	day	-2.7	
1842	11	9	24	0	day	-1.2	
1842	11	10	24	0	day	-0.5	
1842	11	11	24	0	day	1.1	
1842	11	12	24	0	day	7.7	
1842	11	13	24	0	day	6.6	
1842	11	14	24	0	day	8.6	
1842	11	15	24	0	day	11.3	
1842	11	16	24	0	day	9.7	
1842	11	17	24	0	day	3.7	
1842	11	18	24	0	day	-2.1	
1842	11	19	24	0	day	-1.4	
1842	11	20	24	0	day	1	
1842	11	21	24	0	day	2.8	
1842	11	22	24	0	day	2.7	
1842	11	23	24	0	day	3.6	
1842	11	24	24	0	day	1.9	
1842	11	25	24	0	day	2.3	
1842	11	26	24	0	day	2.6	
1842	11	27	24	0	day	1.7	
1842	11	28	24	0	day	3.4	
1842	11	29	24	0	day	4.3	
1842	11	30	24	0	day	5.6	
1842	12	1	24	0	day	2.8	
1842	12	2	24	0	day	-0.9	
1842	12	3	24	0	day	-2.9	
1842	12	4	24	0	day	-2.3	
1842	12	5	24	0	day	-1.2	
1842	12	6	24	0	day	-2.6	
1842	12	7	24	0	day	-1.8	
1842	12	8	24	0	day	-0.6	
1842	12	9	24	0	day	0	
1842	12	10	24	0	day	-1.1	
1842	12	11	24	0	day	-1.4	
1842	12	12	24	0	day	-1.2	
1842	12	13	24	0	day	-2	
1842	12	14	24	0	day	-1.8	
1842	12	15	24	0	day	-2.8	
1842	12	16	24	0	day	-2.7	
1842	12	17	24	0	day	-1.9	
1842	12	18	24	0	day	1.8	
1842	12	19	24	0	day	1.9	
1842	12	20	24	0	day	1.9	
1842	12	21	24	0	day	3	
1842	12	22	24	0	day	4	
1842	12	23	24	0	day	2.7	
1842	12	24	24	0	day	3.7	
1842	12	25	24	0	day	1.4	
1842	12	26	24	0	day	0.6	
1842	12	27	24	0	day	-1	
1842	12	28	24	0	day	1	
1842	12	29	24	0	day	2	
1842	12	30	24	0	day	4.6	
1842	12	31	24	0	day	6.1	
1843	1	1	24	0	day	3.9	
1843	1	2	24	0	day	-0.7	
1843	1	3	24	0	day	-2.6	
1843	1	4	24	0	day	-5	
1843	1	5	24	0	day	0.1	
1843	1	6	24	0	day	-0.3	
1843	1	7	24	0	day	1.5	
1843	1	8	24	0	day	4.8	
1843	1	9	24	0	day	0.2	
1843	1	10	24	0	day	1.3	
1843	1	11	24	0	day	4.4	
1843	1	12	24	0	day	4.4	
1843	1	13	24	0	day	2.5	
1843	1	14	24	0	day	3.1	
1843	1	15	24	0	day	3.3	
1843	1	16	24	0	day	-0.8	
1843	1	17	24	0	day	-0.3	
1843	1	18	24	0	day	-3.5	
1843	1	19	24	0	day	-3.1	
1843	1	20	24	0	day	-2.6	
1843	1	21	24	0	day	-2.5	
1843	1	22	24	0	day	-4.1	
1843	1	23	24	0	day	-3.8	
1843	1	24	24	0	day	-4.8	
1843	1	25	24	0	day	-4.6	
1843	1	26	24	0	day	1.6	
1843	1	27	24	0	day	4.7	
1843	1	28	24	0	day	8.2	
1843	1	29	24	0	day	8.8	
1843	1	30	24	0	day	8.4	
1843	1	31	24	0	day	7.2	
1843	2	1	24	0	day	6	
1843	2	2	24	0	day	6.8	
1843	2	3	24	0	day	4	
1843	2	4	24	0	day	0	
1843	2	5	24	0	day	-2.9	
1843	2	6	24	0	day	-0.4	
1843	2	7	24	0	day	-2.4	
1843	2	8	24	0	day	-0.6	
1843	2	9	24	0	day	-2	
1843	2	10	24	0	day	2.7	
1843	2	11	24	0	day	2.3	
1843	2	12	24	0	day	-0.1	
1843	2	13	24	0	day	-2	
1843	2	14	24	0	day	-3.5	
1843	2	15	24	0	day	-3	
1843	2	16	24	0	day	2.2	
1843	2	17	24	0	day	6.3	
1843	2	18	24	0	day	7.6	
1843	2	19	24	0	day	12.2	
1843	2	20	24	0	day	6.8	
1843	2	21	24	0	day	11.2	
1843	2	22	24	0	day	8.6	
1843	2	23	24	0	day	7.3	
1843	2	24	24	0	day	6	
1843	2	25	24	0	day	6.2	
1843	2	26	24	0	day	6.7	
1843	2	27	24	0	day	5.2	
1843	2	28	24	0	day	5.3	
1843	3	1	24	0	day	2.8	
1843	3	2	24	0	day	-2	
1843	3	3	24	0	day	-2.4	
1843	3	4	24	0	day	-5.4	
1843	3	5	24	0	day	-3.2	
1843	3	6	24	0	day	-2.2	
1843	3	7	24	0	day	-1.2	
1843	3	8	24	0	day	0.7	
1843	3	9	24	0	day	1.3	
1843	3	10	24	0	day	1.8	
1843	3	11	24	0	day	-0.1	
1843	3	12	24	0	day	0	
1843	3	13	24	0	day	4.7	
1843	3	14	24	0	day	7.3	
1843	3	15	24	0	day	8.3	
1843	3	16	24	0	day	10.9	
1843	3	17	24	0	day	7.9	
1843	3	18	24	0	day	9.1	
1843	3	19	24	0	day	9.7	
1843	3	20	24	0	day	7	
1843	3	21	24	0	day	8.6	
1843	3	22	24	0	day	9.5	
1843	3	23	24	0	day	12.7	
1843	3	24	24	0	day	11	
1843	3	25	24	0	day	8.8	
1843	3	26	24	0	day	1.7	
1843	3	27	24	0	day	2.7	
1843	3	28	24	0	day	3.3	
1843	3	29	24	0	day	5.4	
1843	3	30	24	0	day	5.8	
1843	3	31	24	0	day	8.5	
1843	4	1	24	0	day	11.7	
1843	4	2	24	0	day	12	
1843	4	3	24	0	day	13.1	
1843	4	4	24	0	day	11.9	
1843	4	5	24	0	day	9.4	
1843	4	6	24	0	day	10.7	
1843	4	7	24	0	day	12.7	
1843	4	8	24	0	day	13.3	
1843	4	9	24	0	day	7.2	
1843	4	10	24	0	day	2.8	
1843	4	11	24	0	day	3	
1843	4	12	24	0	day	3.7	
1843	4	13	24	0	day	5.5	
1843	4	14	24	0	day	5.7	
1843	4	15	24	0	day	9.9	
1843	4	16	24	0	day	12	
1843	4	17	24	0	day	13	
1843	4	18	24	0	day	11.2	
1843	4	19	24	0	day	12.1	
1843	4	20	24	0	day	14.8	
1843	4	21	24	0	day	15.7	
1843	4	22	24	0	day	14	
1843	4	23	24	0	day	7.9	
1843	4	24	24	0	day	6.7	
1843	4	25	24	0	day	8.1	
1843	4	26	24	0	day	7.4	
1843	4	27	24	0	day	7.4	
1843	4	28	24	0	day	7.1	
1843	4	29	24	0	day	10.1	
1843	4	30	24	0	day	12.6	
1843	5	1	24	0	day	14.1	
1843	5	2	24	0	day	14	
1843	5	3	24	0	day	16.3	
1843	5	4	24	0	day	15.2	
1843	5	5	24	0	day	12.5	
1843	5	6	24	0	day	13.9	
1843	5	7	24	0	day	15.2	
1843	5	8	24	0	day	11.5	
1843	5	9	24	0	day	7	
1843	5	10	24	0	day	7.7	
1843	5	11	24	0	day	10.6	
1843	5	12	24	0	day	12.1	
1843	5	13	24	0	day	13.4	
1843	5	14	24	0	day	13.5	
1843	5	15	24	0	day	14.8	
1843	5	16	24	0	day	12.4	
1843	5	17	24	0	day	9	
1843	5	18	24	0	day	6.6	
1843	5	19	24	0	day	10.8	
1843	5	20	24	0	day	13.8	
1843	5	21	24	0	day	14.5	
1843	5	22	24	0	day	12.8	
1843	5	23	24	0	day	16.5	
1843	5	24	24	0	day	17.4	
1843	5	25	24	0	day	10.3	
1843	5	26	24	0	day	14.1	
1843	5	27	24	0	day	16.2	
1843	5	28	24	0	day	13.1	
1843	5	29	24	0	day	11.7	
1843	5	30	24	0	day	13.9	
1843	5	31	24	0	day	13.7	
1843	6	1	24	0	day	18.7	
1843	6	2	24	0	day	19.6	
1843	6	3	24	0	day	18.9	
1843	6	4	24	0	day	15.9	
1843	6	5	24	0	day	12.5	
1843	6	6	24	0	day	11.3	
1843	6	7	24	0	day	12.8	
1843	6	8	24	0	day	15.7	
1843	6	9	24	0	day	12.2	
1843	6	10	24	0	day	13.1	
1843	6	11	24	0	day	12.3	
1843	6	12	24	0	day	13	
1843	6	13	24	0	day	13.1	
1843	6	14	24	0	day	16.9	
1843	6	15	24	0	day	17.3	
1843	6	16	24	0	day	16.5	
1843	6	17	24	0	day	18.7	
1843	6	18	24	0	day	21.1	
1843	6	19	24	0	day	16.9	
1843	6	20	24	0	day	15.7	
1843	6	21	24	0	day	16.2	
1843	6	22	24	0	day	17.5	
1843	6	23	24	0	day	19	
1843	6	24	24	0	day	15.5	
1843	6	25	24	0	day	13.3	
1843	6	26	24	0	day	14.6	
1843	6	27	24	0	day	18.7	
1843	6	28	24	0	day	14.4	
1843	6	29	24	0	day	12.1	
1843	6	30	24	0	day	12.5	
1843	7	1	24	0	day	15.6	
1843	7	2	24	0	day	18	
1843	7	3	24	0	day	20.6	
1843	7	4	24	0	day	22.3	
1843	7	5	24	0	day	24.5	
1843	7	6	24	0	day	25.8	
1843	7	7	24	0	day	20.8	
1843	7	8	24	0	day	18	
1843	7	9	24	0	day	17	
1843	7	10	24	0	day	12.1	
1843	7	11	24	0	day	14.6	
1843	7	12	24	0	day	19	
1843	7	13	24	0	day	20.6	
1843	7	14	24	0	day	16.7	
1843	7	15	24	0	day	16.3	
1843	7	16	24	0	day	17.9	
1843	7	17	24	0	day	19.8	
1843	7	18	24	0	day	22.2	
1843	7	19	24	0	day	23.3	
1843	7	20	24	0	day	13.9	
1843	7	21	24	0	day	16.4	
1843	7	22	24	0	day	17	
1843	7	23	24	0	day	16.3	
1843	7	24	24	0	day	12.3	
1843	7	25	24	0	day	13.9	
1843	7	26	24	0	day	14.1	
1843	7	27	24	0	day	17	
1843	7	28	24	0	day	13.5	
1843	7	29	24	0	day	17.8	
1843	7	30	24	0	day	20	
1843	7	31	24	0	day	16.1	
1843	8	1	24	0	day	16.8	
1843	8	2	24	0	day	18.5	
1843	8	3	24	0	day	18.3	
1843	8	4	24	0	day	17	
1843	8	5	24	0	day	13.8	
1843	8	6	24	0	day	17.6	
1843	8	7	24	0	day	16.7	
1843	8	8	24	0	day	17.2	
1843	8	9	24	0	day	18.2	
1843	8	10	24	0	day	18.4	
1843	8	11	24	0	day	19.1	
1843	8	12	24	0	day	15.1	
1843	8	13	24	0	day	14	
1843	8	14	24	0	day	16	
1843	8	15	24	0	day	19.1	
1843	8	16	24	0	day	21.3	
1843	8	17	24	0	day	21.4	
1843	8	18	24	0	day	21.1	
1843	8	19	24	0	day	21.9	
1843	8	20	24	0	day	18.9	
1843	8	21	24	0	day	19.3	
1843	8	22	24	0	day	18.3	
1843	8	23	24	0	day	20.4	
1843	8	24	24	0	day	15.8	
1843	8	25	24	0	day	17.8	
1843	8	26	24	0	day	19.8	
1843	8	27	24	0	day	20.4	
1843	8	28	24	0	day	19.3	
1843	8	29	24	0	day	19.3	
1843	8	30	24	0	day	20.6	
1843	8	31	24	0	day	21.7	
1843	9	1	24	0	day	20.8	
1843	9	2	24	0	day	20.6	
1843	9	3	24	0	day	17.6	
1843	9	4	24	0	day	19.7	
1843	9	5	24	0	day	13.9	
1843	9	6	24	0	day	14.9	
1843	9	7	24	0	day	16.8	
1843	9	8	24	0	day	16.8	
1843	9	9	24	0	day	18.4	
1843	9	10	24	0	day	19.3	
1843	9	11	24	0	day	19.1	
1843	9	12	24	0	day	18.2	
1843	9	13	24	0	day	15.9	
1843	9	14	24	0	day	16.7	
1843	9	15	24	0	day	16.4	
1843	9	16	24	0	day	17.7	
1843	9	17	24	0	day	19.8	
1843	9	18	24	0	day	17.6	
1843	9	19	24	0	day	16.2	
1843	9	20	24	0	day	14.1	
1843	9	21	24	0	day	13.6	
1843	9	22	24	0	day	15	
1843	9	23	24	0	day	12.8	
1843	9	24	24	0	day	12.7	
1843	9	25	24	0	day	12.5	
1843	9	26	24	0	day	9.9	
1843	9	27	24	0	day	10.3	
1843	9	28	24	0	day	8.4	
