SEF	1.0.0
ID	Zurich_Ott
Name	Zürich
Lat	47.39558
Lon	8.53264
Alt	460
Source	GCOS
Link	
Vbl	ta
Stat	mean
Units	C
Meta	Observer=Ott|QC software=dataresqc v1.1.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1756	7	13	24	0	day	13.1	
1756	7	14	24	0	day	17.2	
1756	7	15	24	0	day	20.1	
1756	7	16	24	0	day	21.6	
1756	7	17	24	0	day	16.6	
1756	7	18	24	0	day	22.8	
1756	7	19	24	0	day	21.4	
1756	7	20	24	0	day	21.8	
1756	7	21	24	0	day	21.2	
1756	7	22	24	0	day	16.6	
1756	7	23	24	0	day	17.5	
1756	7	24	24	0	day	17.8	
1756	7	25	24	0	day	22	
1756	7	26	24	0	day	20.9	
1756	7	27	24	0	day	16.2	
1756	7	28	24	0	day	15.3	
1756	7	29	24	0	day	15.9	
1756	7	30	24	0	day	17.4	
1756	7	31	24	0	day	18.3	
1756	8	1	24	0	day	20.3	
1756	8	2	24	0	day	21.2	
1756	8	3	24	0	day	16.3	
1756	8	4	24	0	day	19	
1756	8	5	24	0	day	19.5	
1756	8	6	24	0	day	20.3	
1756	8	7	24	0	day	12.8	
1756	8	8	24	0	day	11.8	
1756	8	9	24	0	day	13.2	
1756	8	10	24	0	day	15.1	
1756	8	11	24	0	day	17	
1756	8	12	24	0	day	19.4	
1756	8	13	24	0	day	17.8	
1756	8	14	24	0	day	16.9	
1756	8	15	24	0	day	16.8	
1756	8	16	24	0	day	19.8	
1756	8	17	24	0	day	16.8	
1756	8	18	24	0	day	15.9	
1756	8	19	24	0	day	16.2	
1756	8	20	24	0	day	15.4	
1756	8	21	24	0	day	16	
1756	8	22	24	0	day	13.5	
1756	8	23	24	0	day	15.1	
1756	8	24	24	0	day	17.6	
1756	8	25	24	0	day	18.1	
1756	8	26	24	0	day	18.2	
1756	8	27	24	0	day	17.5	
1756	8	28	24	0	day	17.9	
1756	8	29	24	0	day	16.4	
1756	8	30	24	0	day	18.3	
1756	8	31	24	0	day	19.1	
1756	9	1	24	0	day	17.8	
1756	9	2	24	0	day	15.9	
1756	9	3	24	0	day	17.3	
1756	9	4	24	0	day	19.6	
1756	9	5	24	0	day	19.2	
1756	9	6	24	0	day	18.7	
1756	9	7	24	0	day	16.6	
1756	9	8	24	0	day	13.9	
1756	9	9	24	0	day	13.8	
1756	9	10	24	0	day	14.9	
1756	9	11	24	0	day	15.7	
1756	9	12	24	0	day	14.7	
1756	9	13	24	0	day	13.6	
1756	9	14	24	0	day	15.2	
1756	9	15	24	0	day	18.7	
1756	9	16	24	0	day	17.6	
1756	9	17	24	0	day	16.5	
1756	9	18	24	0	day	17.1	
1756	9	19	24	0	day	16.1	
1756	9	20	24	0	day	16.1	
1756	9	21	24	0	day	14	
1756	9	22	24	0	day	13.6	
1756	9	23	24	0	day	12.4	
1756	9	24	24	0	day	12.9	
1756	9	25	24	0	day	12.6	
1756	9	26	24	0	day	12.5	
1756	9	27	24	0	day	12.2	
1756	9	28	24	0	day	10.5	
1756	9	29	24	0	day	14.1	
1756	9	30	24	0	day	12.6	
1756	10	1	24	0	day	13.1	
1756	10	2	24	0	day	13.5	
1756	10	3	24	0	day	12.8	
1756	10	4	24	0	day	11.6	
1756	10	5	24	0	day	14.5	
1756	10	6	24	0	day	10.8	
1756	10	7	24	0	day	8.8	
1756	10	8	24	0	day	8.2	
1756	10	9	24	0	day	7.4	
1756	10	10	24	0	day	8.6	
1756	10	11	24	0	day	10.1	
1756	10	12	24	0	day	10.1	
1756	10	13	24	0	day	6.7	
1756	10	14	24	0	day	8.2	
1756	10	15	24	0	day	6.9	
1756	10	16	24	0	day	8.8	
1756	10	17	24	0	day	12.3	
1756	10	18	24	0	day	8.7	
1756	10	19	24	0	day	8.3	
1756	10	20	24	0	day	9	
1756	10	21	24	0	day	7.8	
1756	10	22	24	0	day	7.2	
1756	10	23	24	0	day	7.6	
1756	10	24	24	0	day	8.2	
1756	10	25	24	0	day	7.8	
1756	10	26	24	0	day	7	
1756	10	27	24	0	day	7.7	
1756	10	28	24	0	day	7.1	
1756	10	29	24	0	day	6	
1756	10	30	24	0	day	6.2	
1756	11	1	24	0	day	7.4	
1756	11	2	24	0	day	10.4	
1756	11	3	24	0	day	10.2	
1756	11	4	24	0	day	10.9	
1756	11	5	24	0	day	8.7	
1756	11	6	24	0	day	6	
1756	11	7	24	0	day	3.8	
1756	11	8	24	0	day	2	
1756	11	9	24	0	day	-0.1	
1756	11	10	24	0	day	-0.1	
1756	11	11	24	0	day	-0.2	
1756	11	12	24	0	day	3.8	
1756	11	13	24	0	day	0.8	
1756	11	14	24	0	day	0.1	
1756	11	15	24	0	day	1.3	
1756	11	16	24	0	day	5.4	
1756	11	17	24	0	day	7.9	
1756	11	18	24	0	day	8.5	
1756	11	19	24	0	day	5.4	
1756	11	20	24	0	day	2	
1756	11	21	24	0	day	2.6	
1756	11	22	24	0	day	2.4	
1756	11	23	24	0	day	5.3	
1756	11	24	24	0	day	3.6	
1756	11	25	24	0	day	0.9	
1756	11	26	24	0	day	-0.4	
1756	11	27	24	0	day	1.9	
1756	11	28	24	0	day	-2.5	
1756	11	29	24	0	day	1.1	
1756	11	30	24	0	day	1.1	
1756	12	1	24	0	day	2.3	
1756	12	2	24	0	day	2.4	
1756	12	3	24	0	day	1.7	
1756	12	4	24	0	day	0.9	
1756	12	5	24	0	day	-0.1	
1756	12	6	24	0	day	0.4	
1756	12	7	24	0	day	-1	
1756	12	8	24	0	day	-3	
1756	12	9	24	0	day	-4.2	
1756	12	10	24	0	day	-3.9	
1756	12	11	24	0	day	-3.8	
1756	12	12	24	0	day	-4.6	
1756	12	13	24	0	day	-4.6	
1756	12	14	24	0	day	-4.2	
1756	12	15	24	0	day	-1.7	
1756	12	16	24	0	day	1.6	
1756	12	17	24	0	day	2.7	
1756	12	18	24	0	day	2.8	
1756	12	19	24	0	day	-0.1	
1756	12	20	24	0	day	-4	
1756	12	21	24	0	day	-4.8	
1756	12	22	24	0	day	-4.5	
1756	12	23	24	0	day	-1.2	
1756	12	24	24	0	day	-0.2	
1756	12	25	24	0	day	-0.7	
1756	12	26	24	0	day	-0.2	
1756	12	27	24	0	day	0.9	
1756	12	28	24	0	day	-0.2	
1756	12	29	24	0	day	-1.1	
1756	12	30	24	0	day	-3.1	
1756	12	31	24	0	day	-3.6	
1757	1	1	24	0	day	-5.4	
1757	1	2	24	0	day	-3.5	
1757	1	3	24	0	day	-6.2	
1757	1	4	24	0	day	-9.7	
1757	1	5	24	0	day	-10.9	
1757	1	6	24	0	day	-10.5	
1757	1	7	24	0	day	-10	
1757	1	8	24	0	day	-8.5	
1757	1	9	24	0	day	-6.8	
1757	1	10	24	0	day	-6.5	
1757	1	11	24	0	day	-6.4	
1757	1	12	24	0	day	-6.1	
1757	1	13	24	0	day	-2.1	
1757	1	14	24	0	day	2.4	
1757	1	15	24	0	day	1.5	
1757	1	16	24	0	day	1.7	
1757	1	17	24	0	day	1.3	
1757	1	18	24	0	day	0.1	
1757	1	19	24	0	day	2.3	
1757	1	20	24	0	day	3.7	
1757	1	21	24	0	day	3.8	
1757	1	22	24	0	day	4.7	
