SEF	1.0.0
ID	Winterthur
Name	Winterthur
Lat	47.49922
Lon	8.72897
Alt	443
Source	GCOS
Link	
Vbl	ta
Stat	mean
Units	C
Meta	Observer=Furrer|QC software=dataresqc v1.1.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1857	11	NA	NA	NA	month	4.6	
1857	12	NA	NA	NA	month	1.1	
1858	1	NA	NA	NA	month	-2.7	
1858	2	NA	NA	NA	month	-0.3	
1858	3	NA	NA	NA	month	4.9	
1858	4	NA	NA	NA	month	11.6	
1858	5	NA	NA	NA	month	12.3	
1858	6	NA	NA	NA	month	19.8	
1858	7	NA	NA	NA	month	17.7	
1858	8	NA	NA	NA	month	17.6	
1858	9	NA	NA	NA	month	17.1	
1858	10	NA	NA	NA	month	11.3	
1858	11	NA	NA	NA	month	1.6	
1858	12	NA	NA	NA	month	2.3	
1859	1	NA	NA	NA	month	-0.8	
1859	2	NA	NA	NA	month	2.4	
1859	3	NA	NA	NA	month	7.6	
1859	4	NA	NA	NA	month	9.5	
1859	5	NA	NA	NA	month	13.1	
1859	6	NA	NA	NA	month	17	
1859	7	NA	NA	NA	month	22.1	
1859	8	NA	NA	NA	month	20.7	
1859	9	NA	NA	NA	month	16.1	
1859	10	NA	NA	NA	month	11.8	
1859	11	NA	NA	NA	month	4.7	
1859	12	NA	NA	NA	month	-0.9	
1860	1	NA	NA	NA	month	2.7	
1860	2	NA	NA	NA	month	-1.3	
1860	3	NA	NA	NA	month	3.7	
1860	4	NA	NA	NA	month	9.2	
1860	5	NA	NA	NA	month	15.4	
1860	6	NA	NA	NA	month	17.5	
1860	7	NA	NA	NA	month	17.7	
1860	8	NA	NA	NA	month	17.4	
1860	9	NA	NA	NA	month	14.6	
1860	10	NA	NA	NA	month	9.7	
1860	11	NA	NA	NA	month	2.9	
1860	12	NA	NA	NA	month	1.3	
1861	1	NA	NA	NA	month	-3	
1861	2	NA	NA	NA	month	3.3	
1861	3	NA	NA	NA	month	6.1	
1861	4	NA	NA	NA	month	10.1	
1861	5	NA	NA	NA	month	14	
1861	6	NA	NA	NA	month	18.7	
1861	7	NA	NA	NA	month	19.1	
1861	8	NA	NA	NA	month	20.8	
1861	9	NA	NA	NA	month	15.8	
1861	10	NA	NA	NA	month	12.4	
1861	11	NA	NA	NA	month	6	
1861	12	NA	NA	NA	month	1.3	
1862	1	NA	NA	NA	month	1.5	
1862	2	NA	NA	NA	month	3.6	
1862	3	NA	NA	NA	month	8.8	
1862	4	NA	NA	NA	month	13.1	
1862	5	NA	NA	NA	month	17.3	
1862	6	NA	NA	NA	month	17.2	
1862	7	NA	NA	NA	month	NA	
1862	8	NA	NA	NA	month	NA	
1862	9	NA	NA	NA	month	16.1	
1862	10	NA	NA	NA	month	12	
1862	11	NA	NA	NA	month	6.3	
1862	12	NA	NA	NA	month	2.8	
1863	1	NA	NA	NA	month	3.5	
1863	2	NA	NA	NA	month	3.7	
1863	3	NA	NA	NA	month	6.3	
1863	4	NA	NA	NA	month	12	
1863	5	NA	NA	NA	month	15.5	
1863	6	NA	NA	NA	month	17.5	
1863	7	NA	NA	NA	month	19.5	
1863	8	NA	NA	NA	month	NA	
1863	9	NA	NA	NA	month	14.7	
1863	10	NA	NA	NA	month	11.6	
1863	11	NA	NA	NA	month	NA	
1863	12	NA	NA	NA	month	NA	
1864	1	NA	NA	NA	month	-3.9	
1864	2	NA	NA	NA	month	1.3	
1864	3	NA	NA	NA	month	7.4	
1864	4	NA	NA	NA	month	10	
1864	5	NA	NA	NA	month	14.8	
1864	6	NA	NA	NA	month	17	
1864	7	NA	NA	NA	month	NA	
1864	8	NA	NA	NA	month	NA	
1864	9	NA	NA	NA	month	15.4	
1864	10	NA	NA	NA	month	9.4	
1864	11	NA	NA	NA	month	4.8	
1864	12	NA	NA	NA	month	-1.4	
1865	1	NA	NA	NA	month	2.2	
1865	2	NA	NA	NA	month	0	
1865	3	NA	NA	NA	month	2.2	
1865	4	NA	NA	NA	month	15	
1865	5	NA	NA	NA	month	17.1	
1865	6	NA	NA	NA	month	18.4	
1865	7	NA	NA	NA	month	NA	
1865	8	NA	NA	NA	month	18.3	
1865	9	NA	NA	NA	month	18.3	
1865	10	NA	NA	NA	month	11.5	
1865	11	NA	NA	NA	month	6.3	
1865	12	NA	NA	NA	month	0.3	
1866	1	NA	NA	NA	month	3.8	
1866	2	NA	NA	NA	month	5.1	
1866	3	NA	NA	NA	month	6.1	
1866	4	NA	NA	NA	month	12	
1866	5	NA	NA	NA	month	12.7	
1866	6	NA	NA	NA	month	19.6	
1866	7	NA	NA	NA	month	19.9	
1866	8	NA	NA	NA	month	17.2	
1866	9	NA	NA	NA	month	16.6	
1866	10	NA	NA	NA	month	10.7	
1866	11	NA	NA	NA	month	6.1	
1866	12	NA	NA	NA	month	3.8	
1867	1	NA	NA	NA	month	0.6	
1867	2	NA	NA	NA	month	6.6	
