SEF	1.0.0
ID	Zurich_Hirzel
Name	Zürich
Lat	47.37209
Lon	8.54034
Alt	420
Source	GCOS
Link	
Vbl	ta
Stat	mean
Units	C
Meta	Observer=Hirzel|QC software=dataresqc v1.1.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1761	1	NA	NA	NA	month	-1.6	
1761	2	NA	NA	NA	month	3.8	
1761	3	NA	NA	NA	month	7.7	
1761	4	NA	NA	NA	month	10.2	
1761	5	NA	NA	NA	month	16	
1761	6	NA	NA	NA	month	17.9	
1761	7	NA	NA	NA	month	20.1	
1761	8	NA	NA	NA	month	20.3	
1761	9	NA	NA	NA	month	16	
1761	10	NA	NA	NA	month	8.9	
1761	11	NA	NA	NA	month	4.8	
1761	12	NA	NA	NA	month	-2.7	
1762	1	NA	NA	NA	month	2.1	
1762	2	NA	NA	NA	month	1.7	
1762	3	NA	NA	NA	month	2.3	
1762	4	NA	NA	NA	month	12.3	
1762	5	NA	NA	NA	month	16.6	
1762	6	NA	NA	NA	month	16.6	
1762	7	NA	NA	NA	month	21.3	
1762	8	NA	NA	NA	month	18.4	
1762	9	NA	NA	NA	month	14.8	
1762	10	NA	NA	NA	month	8.5	
1762	11	NA	NA	NA	month	4.1	
1762	12	NA	NA	NA	month	-3.3	
1767	4	NA	NA	NA	month	NA	
1767	5	NA	NA	NA	month	12.6	
1767	6	NA	NA	NA	month	16.5	
1767	7	NA	NA	NA	month	19.2	
1767	8	NA	NA	NA	month	18.7	
1767	9	NA	NA	NA	month	15.1	
1767	10	NA	NA	NA	month	10	
1767	11	NA	NA	NA	month	6.9	
1767	12	NA	NA	NA	month	NA	
1768	1	NA	NA	NA	month	1.1	
1768	2	NA	NA	NA	month	3.4	
1768	3	NA	NA	NA	month	6.2	
1768	4	NA	NA	NA	month	11.8	
1768	5	NA	NA	NA	month	17.1	
1768	6	NA	NA	NA	month	17.9	
1768	7	NA	NA	NA	month	20.2	
1768	8	NA	NA	NA	month	20.4	
1768	9	NA	NA	NA	month	16.3	
1768	10	NA	NA	NA	month	10.2	
1768	11	NA	NA	NA	month	5.5	
1768	12	NA	NA	NA	month	3	
1769	1	NA	NA	NA	month	1.6	
1769	2	NA	NA	NA	month	2.5	
1769	3	NA	NA	NA	month	4.3	
1769	4	NA	NA	NA	month	10	
1769	5	NA	NA	NA	month	14.8	
1769	6	NA	NA	NA	month	16.3	
1769	7	NA	NA	NA	month	19.2	
1769	8	NA	NA	NA	month	18.7	
1769	9	NA	NA	NA	month	15.3	
1769	10	NA	NA	NA	month	5.9	
1769	11	NA	NA	NA	month	6.7	
1769	12	NA	NA	NA	month	2.4	
1770	1	NA	NA	NA	month	-0.8	
1770	2	NA	NA	NA	month	0.2	
1770	3	NA	NA	NA	month	2.9	
1770	4	NA	NA	NA	month	7	
1770	5	NA	NA	NA	month	14.3	
1770	6	NA	NA	NA	month	16.5	
1770	7	NA	NA	NA	month	17	
1770	8	NA	NA	NA	month	19	
1770	9	NA	NA	NA	month	16.9	
1770	10	NA	NA	NA	month	9.4	
1770	11	NA	NA	NA	month	6.4	
1770	12	NA	NA	NA	month	2.8	
1771	1	NA	NA	NA	month	0.7	
1771	2	NA	NA	NA	month	0.8	
1771	3	NA	NA	NA	month	3.8	
1771	4	NA	NA	NA	month	7.2	
1771	5	NA	NA	NA	month	17.6	
1771	6	NA	NA	NA	month	15.3	
1771	7	NA	NA	NA	month	19.7	
1771	8	NA	NA	NA	month	18.2	
1771	9	NA	NA	NA	month	15.4	
1771	10	NA	NA	NA	month	10.4	
1771	11	NA	NA	NA	month	2.5	
1771	12	NA	NA	NA	month	2.6	
1772	1	NA	NA	NA	month	0.3	
1772	2	NA	NA	NA	month	4.3	
1772	3	NA	NA	NA	month	6.9	
1772	4	NA	NA	NA	month	8.9	
1772	5	NA	NA	NA	month	12.1	
1772	6	NA	NA	NA	month	19.3	
1772	7	NA	NA	NA	month	19.1	
1772	8	NA	NA	NA	month	19.2	
1772	9	NA	NA	NA	month	17.1	
1772	10	NA	NA	NA	month	11.5	
1772	11	NA	NA	NA	month	6.9	
1772	12	NA	NA	NA	month	2.8	
1773	1	NA	NA	NA	month	2.8	
1773	2	NA	NA	NA	month	-1.6	
1773	3	NA	NA	NA	month	4.9	
1773	4	NA	NA	NA	month	9.2	
1773	5	NA	NA	NA	month	14	
1773	6	NA	NA	NA	month	16.4	
1773	7	NA	NA	NA	month	17.3	
1773	8	NA	NA	NA	month	18.3	
1773	9	NA	NA	NA	month	16.1	
1773	10	NA	NA	NA	month	10.5	
1773	11	NA	NA	NA	month	5.2	
1773	12	NA	NA	NA	month	3.5	
1774	1	NA	NA	NA	month	1	
