SEF	1.0.0
ID	Zurich_Hirzel
Name	Zürich
Lat	47.4
Lon	8.5
Alt	NA
Source	GCOS
Link	NA
Vbl	ta
Stat	mean
Units	C
Meta	Observer=Hirzel
Year	Month	Day	Hour	Minute	Period	Value	Meta
1795	1	NA	NA	NA	month	-5.2	
1795	2	NA	NA	NA	month	2.6	
1795	3	NA	NA	NA	month	5.1	
1795	4	NA	NA	NA	month	10.8	
1795	5	NA	NA	NA	month	14.4	
1795	6	NA	NA	NA	month	17.3	
1795	7	NA	NA	NA	month	15.5	
1795	8	NA	NA	NA	month	17.8	
1795	9	NA	NA	NA	month	15.5	
1795	10	NA	NA	NA	month	11.9	
1795	11	NA	NA	NA	month	2.4	
1795	12	NA	NA	NA	month	2.9	
1796	1	NA	NA	NA	month	2.2	
1796	2	NA	NA	NA	month	2.4	
1796	3	NA	NA	NA	month	2.7	
1796	4	NA	NA	NA	month	8.6	
1796	5	NA	NA	NA	month	12.6	
1796	6	NA	NA	NA	month	15.9	
1796	7	NA	NA	NA	month	17.3	
1796	8	NA	NA	NA	month	17.4	
1796	9	NA	NA	NA	month	16.1	
1796	10	NA	NA	NA	month	8.9	
1796	11	NA	NA	NA	month	4.6	
1796	12	NA	NA	NA	month	-0.3	
1797	1	NA	NA	NA	month	1.7	
1797	2	NA	NA	NA	month	1.5	
1797	3	NA	NA	NA	month	3.8	
1797	4	NA	NA	NA	month	10.8	
1797	5	NA	NA	NA	month	14.9	
1797	6	NA	NA	NA	month	14.2	
1797	7	NA	NA	NA	month	19.3	
1797	8	NA	NA	NA	month	18.4	
1797	9	NA	NA	NA	month	14.1	
1797	10	NA	NA	NA	month	NA	
1797	11	NA	NA	NA	month	5.5	
1797	12	NA	NA	NA	month	3.1	
1798	1	NA	NA	NA	month	0.4	
1798	2	NA	NA	NA	month	1.5	
1798	3	NA	NA	NA	month	4.3	
1798	4	NA	NA	NA	month	9.1	
1798	5	NA	NA	NA	month	13.7	
1798	6	NA	NA	NA	month	17.4	
1798	7	NA	NA	NA	month	17.6	
1798	8	NA	NA	NA	month	17.2	
1798	9	NA	NA	NA	month	14.7	
1798	10	NA	NA	NA	month	9	
1798	11	NA	NA	NA	month	4.5	
1798	12	NA	NA	NA	month	-2	
1799	1	NA	NA	NA	month	-5.1	
1799	2	NA	NA	NA	month	2.7	
1799	3	NA	NA	NA	month	3.6	
1799	4	NA	NA	NA	month	6.7	
1799	5	NA	NA	NA	month	12.1	
1799	6	NA	NA	NA	month	15.2	
1799	7	NA	NA	NA	month	17	
1799	8	NA	NA	NA	month	17.1	
1799	9	NA	NA	NA	month	13.8	
1799	10	NA	NA	NA	month	9	
1799	11	NA	NA	NA	month	2.9	
1799	12	NA	NA	NA	month	-5.4	
1800	1	NA	NA	NA	month	0.6	
1800	2	NA	NA	NA	month	-0.6	
1800	3	NA	NA	NA	month	1.3	
1800	4	NA	NA	NA	month	12.6	
1800	5	NA	NA	NA	month	14.8	
1800	6	NA	NA	NA	month	14.3	
1800	7	NA	NA	NA	month	18.4	
1800	8	NA	NA	NA	month	17.9	
1800	9	NA	NA	NA	month	14.2	
1800	10	NA	NA	NA	month	7.6	
1800	11	NA	NA	NA	month	4.5	
1800	12	NA	NA	NA	month	0	
1801	1	NA	NA	NA	month	1.5	
1801	2	NA	NA	NA	month	1.9	
1801	3	NA	NA	NA	month	5.4	
1801	4	NA	NA	NA	month	8.9	
1801	5	NA	NA	NA	month	14	
1801	6	NA	NA	NA	month	15.3	
1801	7	NA	NA	NA	month	17.1	
1801	8	NA	NA	NA	month	16.7	
1801	9	NA	NA	NA	month	14.7	
1801	10	NA	NA	NA	month	9.5	
1801	11	NA	NA	NA	month	5.2	
1801	12	NA	NA	NA	month	1.9	
1802	1	NA	NA	NA	month	-6.2	
1802	2	NA	NA	NA	month	0.8	
1802	3	NA	NA	NA	month	4.1	
1802	7	NA	NA	NA	month	16.8	
1802	8	NA	NA	NA	month	20.2	
1802	9	NA	NA	NA	month	14.2	
