SEF	1.0.0
ID	Zurich_Muralt
Name	Zürich
Lat	47.3738
Lon	8.53797
Alt	415
Source	GCOS
Link	
Vbl	ta
Stat	mean
Units	C
Meta	Observer=Muralt|QC software=dataresqc v1.1.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1760	1	NA	NA	NA	month	-0.4	
1760	2	NA	NA	NA	month	1.3	
1760	3	NA	NA	NA	month	3.3	
1760	4	NA	NA	NA	month	10	
1760	5	NA	NA	NA	month	13.9	
1760	7	NA	NA	NA	month	19.1	
1760	8	NA	NA	NA	month	17.7	
1760	9	NA	NA	NA	month	15.4	
1760	10	NA	NA	NA	month	10.6	
1760	11	NA	NA	NA	month	5	
1760	12	NA	NA	NA	month	4	
1761	1	NA	NA	NA	month	-2.3	
1761	2	NA	NA	NA	month	3.6	
1761	3	NA	NA	NA	month	6	
1761	4	NA	NA	NA	month	8.3	
1761	5	NA	NA	NA	month	14.7	
1761	7	NA	NA	NA	month	19.5	
1761	8	NA	NA	NA	month	20	
1761	9	NA	NA	NA	month	15.7	
1761	10	NA	NA	NA	month	8.6	
1761	11	NA	NA	NA	month	4.2	
1761	12	NA	NA	NA	month	-3	
1762	1	NA	NA	NA	month	1.3	
1762	2	NA	NA	NA	month	1	
1762	3	NA	NA	NA	month	1.6	
1762	4	NA	NA	NA	month	9.3	
1762	5	NA	NA	NA	month	14.2	
1762	7	NA	NA	NA	month	21.1	
1762	8	NA	NA	NA	month	18.2	
1762	9	NA	NA	NA	month	14.7	
1762	10	NA	NA	NA	month	8.3	
1762	11	NA	NA	NA	month	3.9	
1762	12	NA	NA	NA	month	-3.2	
1763	1	NA	NA	NA	month	-4.5	
1763	2	NA	NA	NA	month	4.2	
1763	3	NA	NA	NA	month	2.7	
1763	4	NA	NA	NA	month	8.1	
1763	5	NA	NA	NA	month	12.6	
1763	7	NA	NA	NA	month	19	
1763	8	NA	NA	NA	month	21	
1763	9	NA	NA	NA	month	14.1	
1763	10	NA	NA	NA	month	8.4	
1763	11	NA	NA	NA	month	4.4	
1763	12	NA	NA	NA	month	3.8	
1764	1	NA	NA	NA	month	3.9	
1764	2	NA	NA	NA	month	4	
1764	3	NA	NA	NA	month	2.5	
1764	4	NA	NA	NA	month	6.4	
1764	5	NA	NA	NA	month	14.3	
1764	7	NA	NA	NA	month	20.7	
1764	8	NA	NA	NA	month	16.9	
1764	9	NA	NA	NA	month	14.4	
1764	10	NA	NA	NA	month	8.2	
1764	11	NA	NA	NA	month	4.8	
1764	12	NA	NA	NA	month	2.5	
1765	1	NA	NA	NA	month	1.8	
1765	2	NA	NA	NA	month	-0.8	
1765	3	NA	NA	NA	month	6.2	
1765	4	NA	NA	NA	month	8.5	
1765	5	NA	NA	NA	month	12	
1765	7	NA	NA	NA	month	18.5	
1765	8	NA	NA	NA	month	18.8	
1765	9	NA	NA	NA	month	15.9	
1765	10	NA	NA	NA	month	12.1	
1765	11	NA	NA	NA	month	4.3	
1765	12	NA	NA	NA	month	-0.7	
1766	1	NA	NA	NA	month	-7.7	
1766	2	NA	NA	NA	month	-3	
1766	3	NA	NA	NA	month	2.7	
1766	4	NA	NA	NA	month	8.7	
1766	7	NA	NA	NA	month	17.9	
1766	8	NA	NA	NA	month	19.5	
1766	9	NA	NA	NA	month	16.6	
1766	10	NA	NA	NA	month	11.8	
1766	11	NA	NA	NA	month	4.5	
1766	12	NA	NA	NA	month	-0.7	
1767	1	NA	NA	NA	month	-6.2	
1767	2	NA	NA	NA	month	4.4	
1767	3	NA	NA	NA	month	3.7	
1767	4	NA	NA	NA	month	6.6	
1767	7	NA	NA	NA	month	18.9	
1767	8	NA	NA	NA	month	18.7	
1767	10	NA	NA	NA	month	10.6	
1767	11	NA	NA	NA	month	7	
1767	12	NA	NA	NA	month	-1.1	
1768	1	NA	NA	NA	month	-2.5	
1768	2	NA	NA	NA	month	-0.1	
1768	3	NA	NA	NA	month	0.7	
1768	4	NA	NA	NA	month	7.8	
1768	7	NA	NA	NA	month	19.6	
1768	8	NA	NA	NA	month	19.4	
1768	9	NA	NA	NA	month	NA	
1768	10	NA	NA	NA	month	NA	
1768	11	NA	NA	NA	month	5.2	
1768	12	NA	NA	NA	month	0	
1769	1	NA	NA	NA	month	0.7	
1769	2	NA	NA	NA	month	1.5	
1769	3	NA	NA	NA	month	3.3	
1769	4	NA	NA	NA	month	8.9	
1769	9	NA	NA	NA	month	15.8	
1769	10	NA	NA	NA	month	5.7	
1769	11	NA	NA	NA	month	6.1	
1769	12	NA	NA	NA	month	1	
