SEF	1.0.0
ID	Zurich_SNG
Name	Zürich
Lat	47.37078
Lon	8.53708
Alt	415
Source	GCOS
Link	NA
Vbl	ta
Stat	mean
Units	C
Meta	Observer=Nüscheler | Address=Haus 414
Year	Month	Day	Hour	Minute	Period	Value	Meta
1831	2	NA	NA	NA	month	NA	
1831	3	NA	NA	NA	month	7.7	
1831	4	NA	NA	NA	month	11.8	
1831	5	NA	NA	NA	month	14.8	
1831	6	NA	NA	NA	month	17.4	
1831	7	NA	NA	NA	month	19.5	
1831	8	NA	NA	NA	month	19.1	
1831	9	NA	NA	NA	month	13.9	
1831	10	NA	NA	NA	month	12.7	
1831	11	NA	NA	NA	month	6.1	
1831	12	NA	NA	NA	month	2.1	
1832	1	NA	NA	NA	month	-0.3	
1832	2	NA	NA	NA	month	1.3	
1832	3	NA	NA	NA	month	4.9	
