SEF	1.0.0
ID	Winterthur
Name	Winterthur
Lat	47.49922
Lon	8.72897
Alt	443
Source	GCOS
Link	
Vbl	ta
Stat	mean
Units	C
Meta	Observer=Furrer|QC software=dataresqc v1.1.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1857	11	NA	NA	NA	month	3.2	
1857	12	NA	NA	NA	month	-0.1	
1858	1	NA	NA	NA	month	-3.8	
1858	2	NA	NA	NA	month	-1.4	
1858	3	NA	NA	NA	month	3.8	
1858	4	NA	NA	NA	month	10.7	
1858	5	NA	NA	NA	month	11.8	
1858	6	NA	NA	NA	month	19.5	
1858	7	NA	NA	NA	month	17.3	
1858	8	NA	NA	NA	month	16.8	
1858	9	NA	NA	NA	month	15.9	
1858	10	NA	NA	NA	month	9.9	
1858	11	NA	NA	NA	month	0.3	
1858	12	NA	NA	NA	month	1.1	
1859	1	NA	NA	NA	month	-1.9	
1859	2	NA	NA	NA	month	1.2	
1859	3	NA	NA	NA	month	6.5	
1859	4	NA	NA	NA	month	8.7	
1859	5	NA	NA	NA	month	12.6	
1859	6	NA	NA	NA	month	16.7	
1859	7	NA	NA	NA	month	21.7	
1859	8	NA	NA	NA	month	19.9	
1859	9	NA	NA	NA	month	14.9	
1859	10	NA	NA	NA	month	10.4	
1859	11	NA	NA	NA	month	3.3	
1859	12	NA	NA	NA	month	-2.3	
1860	1	NA	NA	NA	month	1.4	
1860	2	NA	NA	NA	month	-2.7	
1860	3	NA	NA	NA	month	2.3	
1860	4	NA	NA	NA	month	7.8	
1860	5	NA	NA	NA	month	14	
1860	6	NA	NA	NA	month	16.2	
1860	7	NA	NA	NA	month	16.4	
1860	8	NA	NA	NA	month	16	
1860	9	NA	NA	NA	month	13.2	
1860	10	NA	NA	NA	month	8.3	
1860	11	NA	NA	NA	month	1.5	
1860	12	NA	NA	NA	month	-0.1	
1861	1	NA	NA	NA	month	-4.4	
1861	2	NA	NA	NA	month	1.9	
1861	3	NA	NA	NA	month	4.7	
1861	4	NA	NA	NA	month	8.7	
1861	5	NA	NA	NA	month	12.7	
1861	6	NA	NA	NA	month	17.4	
1861	7	NA	NA	NA	month	17.8	
1861	8	NA	NA	NA	month	19.5	
1861	9	NA	NA	NA	month	14.3	
1861	10	NA	NA	NA	month	11	
1861	11	NA	NA	NA	month	4.6	
1861	12	NA	NA	NA	month	-0.1	
1862	1	NA	NA	NA	month	0.2	
1862	2	NA	NA	NA	month	2.2	
1862	3	NA	NA	NA	month	7.4	
1862	4	NA	NA	NA	month	11.7	
1862	5	NA	NA	NA	month	15.9	
1862	6	NA	NA	NA	month	15.9	
1862	7	NA	NA	NA	month	NA	
1862	8	NA	NA	NA	month	NA	
1862	9	NA	NA	NA	month	14.7	
1862	10	NA	NA	NA	month	10.6	
1862	11	NA	NA	NA	month	4.9	
1862	12	NA	NA	NA	month	1.4	
1863	1	NA	NA	NA	month	2.1	
1863	2	NA	NA	NA	month	2.3	
1863	3	NA	NA	NA	month	4.9	
1863	4	NA	NA	NA	month	10.6	
1863	5	NA	NA	NA	month	14.1	
1863	6	NA	NA	NA	month	16.2	
1863	7	NA	NA	NA	month	NA	
1863	8	NA	NA	NA	month	NA	
1863	9	NA	NA	NA	month	13.3	
1863	10	NA	NA	NA	month	10.2	
1863	11	NA	NA	NA	month	NA	
1863	12	NA	NA	NA	month	NA	
1864	1	NA	NA	NA	month	-5.2	
1864	2	NA	NA	NA	month	-0.1	
1864	3	NA	NA	NA	month	6	
1864	4	NA	NA	NA	month	8.6	
1864	5	NA	NA	NA	month	13.5	
1864	6	NA	NA	NA	month	15.7	
1864	7	NA	NA	NA	month	NA	
1864	8	NA	NA	NA	month	NA	
1864	9	NA	NA	NA	month	14	
1864	10	NA	NA	NA	month	8	
1864	11	NA	NA	NA	month	3.4	
1864	12	NA	NA	NA	month	-2.8	
1865	1	NA	NA	NA	month	0.8	
1865	2	NA	NA	NA	month	-1.4	
1865	3	NA	NA	NA	month	0.8	
1865	4	NA	NA	NA	month	13.6	
1865	5	NA	NA	NA	month	15.7	
1865	6	NA	NA	NA	month	17.1	
1865	7	NA	NA	NA	month	NA	
1865	8	NA	NA	NA	month	17	
1865	9	NA	NA	NA	month	16.9	
1865	10	NA	NA	NA	month	10.1	
1865	11	NA	NA	NA	month	4.9	
1865	12	NA	NA	NA	month	-1.1	
1866	1	NA	NA	NA	month	2.4	
1866	2	NA	NA	NA	month	3.7	
1866	3	NA	NA	NA	month	4.7	
1866	4	NA	NA	NA	month	10.6	
1866	5	NA	NA	NA	month	11.3	
1866	6	NA	NA	NA	month	18.3	
1866	7	NA	NA	NA	month	18.6	
1866	8	NA	NA	NA	month	15.9	
1866	9	NA	NA	NA	month	15.2	
1866	10	NA	NA	NA	month	9.3	
1866	11	NA	NA	NA	month	4.7	
1866	12	NA	NA	NA	month	2.4	
1867	1	NA	NA	NA	month	-0.8	
1867	2	NA	NA	NA	month	5.2	
