SEF	1.0.0
ID	Winterthur
Name	Winterthur
Lat	47.49922
Lon	8.72897
Alt	443
Source	GCOS
Link	
Vbl	ta
Stat	mean
Units	C
Meta	Observer=Furrer|QC software=dataresqc v1.1.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1857	11	1	24	0	day	6.3	correction=-1.41
1857	11	2	24	0	day	7.3	correction=-1.41
1857	11	3	24	0	day	6.8	correction=-1.4
1857	11	4	24	0	day	6.9	correction=-1.4
1857	11	5	24	0	day	7.8	correction=-1.4
1857	11	6	24	0	day	7	correction=-1.39
1857	11	7	24	0	day	7.3	correction=-1.39
1857	11	8	24	0	day	7.1	correction=-1.39
1857	11	9	24	0	day	8.2	correction=-1.38
1857	11	10	24	0	day	7.6	correction=-1.38
1857	11	11	24	0	day	4	correction=-1.38
1857	11	12	24	0	day	2.3	correction=-1.37
1857	11	13	24	0	day	0.9	correction=-1.37
1857	11	14	24	0	day	1	correction=-1.36
1857	11	15	24	0	day	1.9	correction=-1.36
1857	11	16	24	0	day	-0.4	correction=-1.35
1857	11	17	24	0	day	0.5	correction=-1.35
1857	11	18	24	0	day	0.9	correction=-1.34
1857	11	19	24	0	day	0.1	correction=-1.34
1857	11	20	24	0	day	1	correction=-1.33
1857	11	21	24	0	day	1.9	correction=-1.33
1857	11	22	24	0	day	1.6	correction=-1.32
1857	11	23	24	0	day	0	correction=-1.32
1857	11	24	24	0	day	-2	correction=-1.31
1857	11	25	24	0	day	3.1	correction=-1.31
1857	11	26	24	0	day	4.7	correction=-1.3
1857	11	27	24	0	day	3.5	correction=-1.3
1857	11	28	24	0	day	-0.6	correction=-1.29
1857	11	29	24	0	day	0.4	correction=-1.29
1857	11	30	24	0	day	0.3	correction=-1.28
1857	12	1	24	0	day	1	correction=-1.28
1857	12	2	24	0	day	0.1	correction=-1.27
1857	12	3	24	0	day	-0.7	correction=-1.27
1857	12	4	24	0	day	-0.6	correction=-1.26
1857	12	5	24	0	day	0.5	correction=-1.25
1857	12	6	24	0	day	4.4	correction=-1.25
1857	12	7	24	0	day	3.2	correction=-1.24
1857	12	8	24	0	day	2.1	correction=-1.24
1857	12	9	24	0	day	1.2	correction=-1.23
1857	12	10	24	0	day	0.6	correction=-1.23
1857	12	11	24	0	day	-1.7	correction=-1.22
1857	12	12	24	0	day	-2.7	correction=-1.22
1857	12	13	24	0	day	-0.5	correction=-1.21
1857	12	14	24	0	day	-1.6	correction=-1.21
1857	12	15	24	0	day	-2.7	correction=-1.2
1857	12	16	24	0	day	-4	correction=-1.2
1857	12	17	24	0	day	-2.1	correction=-1.2
1857	12	18	24	0	day	-3.7	correction=-1.19
1857	12	19	24	0	day	-4.4	correction=-1.19
1857	12	20	24	0	day	0.6	correction=-1.18
1857	12	21	24	0	day	2.8	correction=-1.18
1857	12	22	24	0	day	4.1	correction=-1.18
1857	12	23	24	0	day	4.3	correction=-1.17
1857	12	24	24	0	day	2.9	correction=-1.17
1857	12	25	24	0	day	2.4	correction=-1.16
1857	12	26	24	0	day	1.3	correction=-1.16
1857	12	27	24	0	day	1	correction=-1.16
1857	12	28	24	0	day	-0.1	correction=-1.15
1857	12	29	24	0	day	-4.2	correction=-1.15
1857	12	30	24	0	day	-3.7	correction=-1.15
1857	12	31	24	0	day	-4.2	correction=-1.15
1858	1	1	24	0	day	-3.2	correction=-1.14
1858	1	2	24	0	day	-1.4	correction=-1.14
1858	1	3	24	0	day	-1.5	correction=-1.14
1858	1	4	24	0	day	-4.8	correction=-1.14
1858	1	5	24	0	day	-6.5	correction=-1.13
1858	1	6	24	0	day	-4.1	correction=-1.13
1858	1	7	24	0	day	-3.9	correction=-1.13
1858	1	8	24	0	day	-5.3	correction=-1.13
1858	1	9	24	0	day	-3.7	correction=-1.13
1858	1	10	24	0	day	-2.3	correction=-1.13
1858	1	11	24	0	day	-5	correction=-1.13
1858	1	12	24	0	day	-4.8	correction=-1.12
1858	1	13	24	0	day	-1.9	correction=-1.12
1858	1	14	24	0	day	-2.3	correction=-1.12
1858	1	15	24	0	day	-1.1	correction=-1.12
1858	1	16	24	0	day	-0.9	correction=-1.12
1858	1	17	24	0	day	-3.6	correction=-1.12
1858	1	18	24	0	day	-5.6	correction=-1.12
1858	1	19	24	0	day	0.2	correction=-1.12
1858	1	20	24	0	day	2.5	correction=-1.12
1858	1	21	24	0	day	1.7	correction=-1.12
1858	1	22	24	0	day	-4.9	correction=-1.12
1858	1	23	24	0	day	-10.7	correction=-1.12
1858	1	24	24	0	day	-1.9	correction=-1.12
1858	1	25	24	0	day	-5.5	correction=-1.12
1858	1	26	24	0	day	-5.2	correction=-1.12
1858	1	27	24	0	day	-5.9	correction=-1.12
1858	1	28	24	0	day	-9.1	correction=-1.12
1858	1	29	24	0	day	-11.2	correction=-1.12
1858	1	30	24	0	day	-8	correction=-1.12
1858	1	31	24	0	day	1.4	correction=-1.12
1858	2	1	24	0	day	2.1	correction=-1.12
1858	2	2	24	0	day	-0.4	correction=-1.12
1858	2	3	24	0	day	1.5	correction=-1.12
1858	2	4	24	0	day	0.7	correction=-1.12
1858	2	5	24	0	day	4.3	correction=-1.12
1858	2	6	24	0	day	2.6	correction=-1.12
1858	2	7	24	0	day	-2.2	correction=-1.12
1858	2	8	24	0	day	-3.3	correction=-1.13
1858	2	9	24	0	day	-3.1	correction=-1.13
1858	2	10	24	0	day	-0.6	correction=-1.13
1858	2	11	24	0	day	0.6	correction=-1.13
1858	2	12	24	0	day	1.5	correction=-1.13
1858	2	13	24	0	day	3	correction=-1.13
1858	2	14	24	0	day	1.6	correction=-1.13
1858	2	15	24	0	day	2.2	correction=-1.13
1858	2	16	24	0	day	0.7	correction=-1.13
1858	2	17	24	0	day	0	correction=-1.13
1858	2	18	24	0	day	-4.2	correction=-1.13
1858	2	19	24	0	day	-6.4	correction=-1.13
1858	2	20	24	0	day	-1.5	correction=-1.13
1858	2	21	24	0	day	-1.4	correction=-1.13
1858	2	22	24	0	day	-1.3	correction=-1.13
1858	2	23	24	0	day	-1.2	correction=-1.13
1858	2	24	24	0	day	-7.6	correction=-1.12
1858	2	25	24	0	day	-6.2	correction=-1.12
1858	2	26	24	0	day	-8.6	correction=-1.12
1858	2	27	24	0	day	-8.4	correction=-1.12
1858	2	28	24	0	day	-2.9	correction=-1.12
1858	3	1	24	0	day	-2.1	correction=-1.12
1858	3	2	24	0	day	1	correction=-1.12
1858	3	3	24	0	day	0.4	correction=-1.12
1858	3	4	24	0	day	0.1	correction=-1.11
