SEF	1.0.0
ID	Zurich_Hofmeister
Name	Zürich
Lat	47.37318
Lon	8.54759
Alt	430
Source	GCOS
Link	
Vbl	ta
Stat	mean
Units	C
Meta	Observer=Hofmeister|QC software=dataresqc v1.1.0|QC software=dataresqc v1.1.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1834	9	NA	NA	NA	month	NA	
1834	10	NA	NA	NA	month	NA	
1834	11	NA	NA	NA	month	NA	
1834	12	NA	NA	NA	month	-1	
1835	1	NA	NA	NA	month	-0.5	
1835	2	NA	NA	NA	month	1.9	
1835	3	NA	NA	NA	month	3.7	
1835	4	NA	NA	NA	month	NA	
1835	5	NA	NA	NA	month	NA	
1835	6	NA	NA	NA	month	16.7	
1835	7	NA	NA	NA	month	19.8	
1835	8	NA	NA	NA	month	17.1	
1835	9	NA	NA	NA	month	13.5	
1835	10	NA	NA	NA	month	7.9	
1835	11	NA	NA	NA	month	1.2	
1835	12	NA	NA	NA	month	-2.6	
1836	1	NA	NA	NA	month	-1.6	
1836	2	NA	NA	NA	month	-0.2	
1836	3	NA	NA	NA	month	6.1	
1836	4	NA	NA	NA	month	7.6	
1836	5	NA	NA	NA	month	10.7	
1836	6	NA	NA	NA	month	16.4	
1836	7	NA	NA	NA	month	18.6	
1836	8	NA	NA	NA	month	17.8	
1836	9	NA	NA	NA	month	12.9	
1836	10	NA	NA	NA	month	9.6	
1836	11	NA	NA	NA	month	4.3	
1836	12	NA	NA	NA	month	1.5	
1837	1	NA	NA	NA	month	-1.7	
1837	2	NA	NA	NA	month	-0.1	
1837	3	NA	NA	NA	month	0.3	
1837	4	NA	NA	NA	month	5.6	
1837	5	NA	NA	NA	month	9.7	
1837	6	NA	NA	NA	month	17.8	
1837	7	NA	NA	NA	month	NA	
1837	8	NA	NA	NA	month	NA	
1837	9	NA	NA	NA	month	11.8	
1837	10	NA	NA	NA	month	9	
1837	11	NA	NA	NA	month	3.3	
1837	12	NA	NA	NA	month	0.9	
1838	1	NA	NA	NA	month	-6.2	
1838	2	NA	NA	NA	month	-1	
1838	3	NA	NA	NA	month	4	
1838	4	NA	NA	NA	month	5.3	
1838	5	NA	NA	NA	month	13	
1838	6	NA	NA	NA	month	16	
1838	7	NA	NA	NA	month	NA	
1838	8	NA	NA	NA	month	16	
1838	9	NA	NA	NA	month	14.2	
1838	10	NA	NA	NA	month	9.4	
1838	11	NA	NA	NA	month	5.5	
1838	12	NA	NA	NA	month	-0.1	
1840	1	NA	NA	NA	month	0.8	
1840	2	NA	NA	NA	month	-0.1	
1840	3	NA	NA	NA	month	0.2	
1840	4	NA	NA	NA	month	10.4	
1840	5	NA	NA	NA	month	13.4	
1840	6	NA	NA	NA	month	16.4	
1840	7	NA	NA	NA	month	NA	
1840	8	NA	NA	NA	month	17.5	
1840	9	NA	NA	NA	month	NA	
1840	10	NA	NA	NA	month	7.1	
1840	11	NA	NA	NA	month	6.2	
1840	12	NA	NA	NA	month	-4.6	
1841	1	NA	NA	NA	month	-1.5	
1841	2	NA	NA	NA	month	-1	
1841	3	NA	NA	NA	month	5.6	
1841	4	NA	NA	NA	month	8.7	
1841	5	NA	NA	NA	month	16.8	
1841	6	NA	NA	NA	month	14.6	
1841	7	NA	NA	NA	month	NA	
1841	8	NA	NA	NA	month	NA	
1841	9	NA	NA	NA	month	15.6	
1841	10	NA	NA	NA	month	10.7	
1841	11	NA	NA	NA	month	5	
1841	12	NA	NA	NA	month	3.2	
