SEF	1.0.0
ID	Zurich_Horner
Name	Zürich
Lat	47.37228
Lon	8.54875
Alt	430
Source	GCOS
Link	
Vbl	ta
Stat	mean
Units	C
Meta	Observer=Horner | Address=Haus zum Schönenberg|QC software=dataresqc v1.1.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1812	2	NA	NA	NA	month	4.5	
1812	3	NA	NA	NA	month	NA	
1812	6	NA	NA	NA	month	NA	
1812	7	NA	NA	NA	month	16.9	
1812	8	NA	NA	NA	month	16.6	
1812	9	NA	NA	NA	month	13.7	
1812	10	NA	NA	NA	month	NA	
1812	11	NA	NA	NA	month	NA	
1812	12	NA	NA	NA	month	NA	
1813	4	NA	NA	NA	month	NA	
1813	5	NA	NA	NA	month	14.2	
1813	6	NA	NA	NA	month	15.4	
1813	7	NA	NA	NA	month	16.5	
1813	8	NA	NA	NA	month	16	
1813	9	NA	NA	NA	month	12.6	
1813	10	NA	NA	NA	month	9.6	
1813	11	NA	NA	NA	month	4.9	
1813	12	NA	NA	NA	month	NA	
1814	4	NA	NA	NA	month	NA	
1814	5	NA	NA	NA	month	NA	
1814	6	NA	NA	NA	month	15.3	
1814	7	NA	NA	NA	month	NA	
1814	8	NA	NA	NA	month	17.1	
1814	9	NA	NA	NA	month	NA	
1814	12	NA	NA	NA	month	NA	
1815	1	NA	NA	NA	month	-5.1	
1815	4	NA	NA	NA	month	10.1	
1815	5	NA	NA	NA	month	NA	
1815	7	NA	NA	NA	month	NA	
1815	8	NA	NA	NA	month	NA	
1817	2	NA	NA	NA	month	NA	
1817	3	NA	NA	NA	month	NA	
1817	4	NA	NA	NA	month	NA	
1817	5	NA	NA	NA	month	11.2	
1817	6	NA	NA	NA	month	NA	
1819	9	NA	NA	NA	month	NA	
1820	11	NA	NA	NA	month	2.2	
1820	12	NA	NA	NA	month	0.6	
1821	1	NA	NA	NA	month	0.2	
1821	2	NA	NA	NA	month	NA	
