SEF	1.0.0
ID	Zurich_Horner
Name	Zürich
Lat	47.37228
Lon	8.54875
Alt	430
Source	GCOS
Link	
Vbl	ta
Stat	mean
Units	C
Meta	Observer=Horner | Address=Haus zum Schönenberg|QC software=dataresqc v1.1.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1812	2	4	24	0	day	3.6	correction=-0.01
1812	2	5	24	0	day	4.7	correction=-0.01
1812	2	6	24	0	day	4.8	correction=-0.01
1812	2	7	24	0	day	7.6	correction=-0.01
1812	2	8	24	0	day	2	correction=-0.01
1812	2	10	24	0	day	1.9	correction=-0.01
1812	2	11	24	0	day	1.5	correction=-0.01
1812	2	12	24	0	day	-4.3	correction=-0.01
1812	2	13	24	0	day	0.1	correction=-0.01
1812	2	14	24	0	day	3.9	correction=-0.01
1812	2	15	24	0	day	4.5	correction=-0.01
1812	2	16	24	0	day	8.2	correction=-0.01
1812	2	17	24	0	day	5.7	correction=-0.01
1812	2	18	24	0	day	8.6	correction=-0.01
1812	2	19	24	0	day	7.6	correction=-0.01
1812	2	20	24	0	day	5.2	correction=-0.01
1812	2	21	24	0	day	4	correction=-0.01
1812	2	22	24	0	day	8	correction=-0.01
1812	2	23	24	0	day	6.7	correction=-0.01
1812	2	24	24	0	day	6.7	correction=-0.01
1812	2	26	24	0	day	4.9	correction=-0.01
1812	2	27	24	0	day	4.3	correction=-0.01
1812	2	28	24	0	day	3.1	correction=-0.01
1812	2	29	24	0	day	4.1	correction=-0.01
1812	3	1	24	0	day	1.6	correction=-0.01
1812	3	2	24	0	day	3.7	correction=-0.01
1812	3	3	24	0	day	4	correction=-0.01
1812	3	4	24	0	day	3	correction=-0.01
1812	3	5	24	0	day	3	correction=-0.01
1812	3	7	24	0	day	6.4	correction=-0.01
1812	3	8	24	0	day	6.7	correction=-0.01
1812	3	9	24	0	day	2.4	correction=-0.01
1812	3	10	24	0	day	1.9	correction=-0.01
1812	3	11	24	0	day	2.6	correction=-0.01
1812	3	15	24	0	day	2.3	correction=-0.01
1812	3	16	24	0	day	4.9	correction=-0.01
1812	3	17	24	0	day	5.5	correction=-0.01
1812	6	10	24	0	day	12.8	correction=-0.01
1812	6	11	24	0	day	14	correction=-0.01
1812	6	12	24	0	day	16	correction=-0.01
1812	6	13	24	0	day	17.8	correction=-0.01
1812	6	15	24	0	day	20.9	correction=-0.01
1812	6	16	24	0	day	18.6	correction=-0.01
1812	6	17	24	0	day	14.2	correction=-0.01
1812	6	18	24	0	day	11.4	correction=-0.01
1812	6	19	24	0	day	14.5	correction=-0.01
1812	6	20	24	0	day	16.1	correction=-0.01
1812	6	21	24	0	day	16.7	correction=-0.01
1812	6	22	24	0	day	15.4	correction=-0.01
1812	6	23	24	0	day	13.8	correction=-0.01
1812	6	24	24	0	day	17	correction=-0.01
1812	6	25	24	0	day	15.6	correction=-0.01
1812	6	26	24	0	day	16.8	correction=-0.01
1812	6	27	24	0	day	14.4	correction=-0.01
1812	6	28	24	0	day	15.4	correction=-0.01
1812	6	29	24	0	day	14.3	correction=-0.01
