SEF	1.0.0
ID	Zurich_Meyer
Name	Zürich
Lat	47.37396
Lon	8.5451
Alt	415
Source	GCOS
Link	
Vbl	ta
Stat	mean
Units	C
Meta	Observer=Meyer|QC software=dataresqc v1.1.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1759	6	1	24	0	day	21.6	correction=-3.98
1759	6	2	24	0	day	15.3	correction=-3.99
1759	6	3	24	0	day	16.8	correction=-4.01
1759	6	4	24	0	day	15.3	correction=-4.02
1759	6	5	24	0	day	18.5	correction=-4.03
1759	6	6	24	0	day	18.5	correction=-4.05
1759	6	7	24	0	day	19.9	correction=-4.06
1759	6	8	24	0	day	13.5	correction=-4.07
1759	6	9	24	0	day	19.4	correction=-4.08
1759	6	10	24	0	day	19.9	correction=-4.09
1759	6	11	24	0	day	17.3	correction=-4.1
1759	6	12	24	0	day	15.7	correction=-4.11
1759	6	13	24	0	day	21.7	correction=-4.12
1759	6	14	24	0	day	14.5	correction=-4.13
1759	6	15	24	0	day	9.6	correction=-4.14
1759	6	16	24	0	day	15.5	correction=-4.15
1759	6	17	24	0	day	19.8	correction=-4.15
1759	6	18	24	0	day	19.8	correction=-4.16
1759	6	19	24	0	day	19.6	correction=-4.17
1759	6	20	24	0	day	20.9	correction=-4.17
1759	6	21	24	0	day	23.8	correction=-4.18
1759	6	22	24	0	day	24	correction=-4.18
1759	6	23	24	0	day	20.7	correction=-4.18
1759	6	24	24	0	day	13.8	correction=-4.19
1759	6	25	24	0	day	13	correction=-4.19
1759	6	26	24	0	day	16.1	correction=-4.19
1759	6	27	24	0	day	17.6	correction=-4.2
1759	6	28	24	0	day	15	correction=-4.2
1759	6	29	24	0	day	14.5	correction=-4.2
1759	6	30	24	0	day	14.7	correction=-4.2
1759	7	1	24	0	day	13.3	correction=-4.2
1759	7	2	24	0	day	14.6	correction=-4.2
1759	7	3	24	0	day	14.8	correction=-4.2
1759	7	4	24	0	day	15.9	correction=-4.2
1759	7	5	24	0	day	15.4	correction=-4.2
1759	7	6	24	0	day	18	correction=-4.2
1759	7	7	24	0	day	20.5	correction=-4.2
1759	7	8	24	0	day	22	correction=-4.19
1759	7	9	24	0	day	23.3	correction=-4.19
1759	7	10	24	0	day	24.7	correction=-4.19
1759	7	11	24	0	day	24.9	correction=-4.19
1759	7	12	24	0	day	24	correction=-4.18
1759	7	13	24	0	day	24.9	correction=-4.18
1759	7	14	24	0	day	24.1	correction=-4.17
1759	7	15	24	0	day	24.7	correction=-4.17
1759	7	16	24	0	day	24.3	correction=-4.16
1759	7	17	24	0	day	20.9	correction=-4.16
1759	7	18	24	0	day	20.4	correction=-4.15
1759	7	19	24	0	day	20.7	correction=-4.15
1759	7	20	24	0	day	25	correction=-4.14
1759	7	21	24	0	day	23.3	correction=-4.14
1759	7	22	24	0	day	24	correction=-4.13
1759	7	23	24	0	day	24.6	correction=-4.12
1759	7	24	24	0	day	24.7	correction=-4.12
1759	7	25	24	0	day	23.1	correction=-4.11
1759	7	26	24	0	day	21.8	correction=-4.1
1759	7	27	24	0	day	21.1	correction=-4.09
1759	7	28	24	0	day	18.7	correction=-4.09
1759	7	29	24	0	day	19.3	correction=-4.08
1759	7	30	24	0	day	21.9	correction=-4.07
1759	7	31	24	0	day	21.9	correction=-4.06
1759	8	1	24	0	day	16.4	correction=-4.05
1759	8	2	24	0	day	17.8	correction=-4.04
1759	8	3	24	0	day	14.2	correction=-4.03
1759	8	4	24	0	day	15.2	correction=-4.02
1759	8	5	24	0	day	15.2	correction=-4.02
1759	8	6	24	0	day	17.6	correction=-4.01
1759	8	7	24	0	day	13.5	correction=-4
1759	8	8	24	0	day	13.2	correction=-3.99
1759	8	9	24	0	day	16.4	correction=-3.98
1759	8	10	24	0	day	16.7	correction=-3.97
1759	8	11	24	0	day	19.6	correction=-3.96
1759	8	12	24	0	day	20.3	correction=-3.94
1759	8	13	24	0	day	21.6	correction=-3.93
1759	8	14	24	0	day	19.5	correction=-3.92
1759	8	15	24	0	day	19.9	correction=-3.91
1759	8	16	24	0	day	20.4	correction=-3.9
1759	8	17	24	0	day	20.4	correction=-3.89
1759	8	18	24	0	day	18.7	correction=-3.88
1759	8	19	24	0	day	12.5	correction=-3.87
1759	8	20	24	0	day	16	correction=-3.86
1759	8	21	24	0	day	14.8	correction=-3.84
1759	8	22	24	0	day	18.7	correction=-3.83
1759	8	23	24	0	day	14.4	correction=-3.82
1759	8	24	24	0	day	15	correction=-3.81
1759	8	25	24	0	day	16.2	correction=-3.8
1759	8	26	24	0	day	17	correction=-3.79
1759	8	27	24	0	day	17	correction=-3.77
1759	8	28	24	0	day	16.3	correction=-3.76
1759	8	29	24	0	day	15.3	correction=-3.75
1759	8	30	24	0	day	16.5	correction=-3.74
1759	8	31	24	0	day	14.6	correction=-3.72
