SEF	1.0.0
ID	Zurich_Muralt
Name	Zürich
Lat	47.3738
Lon	8.53797
Alt	415
Source	GCOS
Link	
Vbl	ta
Stat	mean
Units	C
Meta	Observer=Muralt|QC software=dataresqc v1.1.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1760	1	1	24	0	day	7.8	correction=0.63
1760	1	2	24	0	day	6	correction=0.65
1760	1	3	24	0	day	2.3	correction=0.67
1760	1	4	24	0	day	1.5	correction=0.69
1760	1	5	24	0	day	2.4	correction=0.7
1760	1	6	24	0	day	4.9	correction=0.72
1760	1	7	24	0	day	3.8	correction=0.74
1760	1	8	24	0	day	-3.5	correction=0.76
1760	1	9	24	0	day	-5.2	correction=0.78
1760	1	10	24	0	day	-5.1	correction=0.79
1760	1	11	24	0	day	-5.8	correction=0.81
1760	1	12	24	0	day	-5.8	correction=0.83
1760	1	13	24	0	day	-5.4	correction=0.84
1760	1	14	24	0	day	-2.6	correction=0.86
1760	1	15	24	0	day	-2.6	correction=0.87
1760	1	16	24	0	day	-3	correction=0.89
1760	1	17	24	0	day	-5.2	correction=0.9
1760	1	18	24	0	day	-4.7	correction=0.92
1760	1	19	24	0	day	-4.7	correction=0.93
1760	1	20	24	0	day	-6.1	correction=0.95
1760	1	21	24	0	day	-5.6	correction=0.96
1760	1	22	24	0	day	-0.2	correction=0.97
1760	1	23	24	0	day	1.3	correction=0.99
1760	1	24	24	0	day	4.3	correction=1
1760	1	25	24	0	day	8.2	correction=1.01
1760	1	26	24	0	day	6.6	correction=1.02
1760	1	27	24	0	day	4.9	correction=1.03
1760	1	28	24	0	day	7.4	correction=1.04
1760	1	29	24	0	day	8.7	correction=1.05
1760	1	30	24	0	day	5.3	correction=1.07
1760	1	31	24	0	day	3.8	correction=1.08
1760	2	1	24	0	day	4.5	correction=1.09
1760	2	2	24	0	day	4.9	correction=1.09
1760	2	3	24	0	day	3.1	correction=1.1
1760	2	4	24	0	day	-1	correction=1.11
1760	2	5	24	0	day	-3.2	correction=1.12
1760	2	6	24	0	day	-1.7	correction=1.13
1760	2	7	24	0	day	-1.8	correction=1.14
1760	2	8	24	0	day	0.5	correction=1.15
1760	2	9	24	0	day	0.2	correction=1.15
1760	2	10	24	0	day	0.3	correction=1.16
1760	2	11	24	0	day	1	correction=1.17
1760	2	12	24	0	day	3.2	correction=1.17
1760	2	13	24	0	day	4.4	correction=1.18
1760	2	14	24	0	day	9.1	correction=1.19
1760	2	15	24	0	day	9.2	correction=1.19
1760	2	16	24	0	day	7.5	correction=1.2
1760	2	17	24	0	day	7.9	correction=1.2
1760	2	18	24	0	day	3.4	correction=1.21
1760	2	19	24	0	day	3.5	correction=1.21
1760	2	20	24	0	day	5.3	correction=1.22
1760	2	21	24	0	day	5.1	correction=1.22
1760	2	22	24	0	day	-0.8	correction=1.23
1760	2	23	24	0	day	-6.9	correction=1.23
1760	2	24	24	0	day	-1	correction=1.24
1760	2	25	24	0	day	3.5	correction=1.24
1760	2	26	24	0	day	3.1	correction=1.24
1760	2	27	24	0	day	2.7	correction=1.25
1760	2	28	24	0	day	3.9	correction=1.25
1760	2	29	24	0	day	3.3	correction=1.25
1760	3	1	24	0	day	3.9	correction=1.25
1760	3	2	24	0	day	3.9	correction=1.26
1760	3	3	24	0	day	3.9	correction=1.26
1760	3	4	24	0	day	4.9	correction=1.26
1760	3	5	24	0	day	-1.6	correction=1.26
1760	3	6	24	0	day	-1.6	correction=1.26
1760	3	7	24	0	day	-0.4	correction=1.26
1760	3	8	24	0	day	2.9	correction=1.27
1760	3	9	24	0	day	5.1	correction=1.27
1760	3	10	24	0	day	5.1	correction=1.27
1760	3	11	24	0	day	1.9	correction=1.27
1760	3	12	24	0	day	3	correction=1.27
1760	3	13	24	0	day	7.3	correction=1.27
1760	3	14	24	0	day	14.6	correction=1.27
1760	3	15	24	0	day	9.5	correction=1.27
1760	3	16	24	0	day	10.5	correction=1.27
1760	3	17	24	0	day	7.4	correction=1.26
1760	3	18	24	0	day	8.4	correction=1.26
1760	3	19	24	0	day	-0.2	correction=1.26
1760	3	20	24	0	day	-0.1	correction=1.26
1760	3	21	24	0	day	5.3	correction=1.26
1760	3	22	24	0	day	6.5	correction=1.26
1760	3	23	24	0	day	5.4	correction=1.26
1760	3	24	24	0	day	4.4	correction=1.25
1760	3	25	24	0	day	2.2	correction=1.25
1760	3	26	24	0	day	6.5	correction=1.25
1760	3	27	24	0	day	5.4	correction=1.24
1760	3	28	24	0	day	5.4	correction=1.24
1760	3	29	24	0	day	3.3	correction=1.24
1760	3	30	24	0	day	3.3	correction=1.23
1760	3	31	24	0	day	4.5	correction=1.23
1760	4	1	24	0	day	5.5	correction=1.23
1760	4	2	24	0	day	7.7	correction=1.22
1760	4	3	24	0	day	5.5	correction=1.22
1760	4	4	24	0	day	4.6	correction=1.21
1760	4	5	24	0	day	6.7	correction=1.21
1760	4	6	24	0	day	5.6	correction=1.2
1760	4	7	24	0	day	6.8	correction=1.2
1760	4	8	24	0	day	10.9	correction=1.19
1760	4	9	24	0	day	7.8	correction=1.18
1760	4	10	24	0	day	11	correction=1.18
1760	4	11	24	0	day	12	correction=1.17
1760	4	12	24	0	day	14.2	correction=1.16
1760	4	13	24	0	day	11.1	correction=1.16
1760	4	14	24	0	day	11	correction=1.15
1760	4	15	24	0	day	12	correction=1.14
1760	4	16	24	0	day	7.9	correction=1.13
1760	4	17	24	0	day	7.9	correction=1.12
1760	4	18	24	0	day	13.1	correction=1.12
1760	4	19	24	0	day	10.1	correction=1.11
1760	4	20	24	0	day	12.1	correction=1.1
1760	4	21	24	0	day	14.3	correction=1.09
1760	4	22	24	0	day	17.4	correction=1.08
1760	4	23	24	0	day	16.4	correction=1.07
1760	4	24	24	0	day	14.4	correction=1.06
1760	4	25	24	0	day	16.3	correction=1.05
1760	4	26	24	0	day	17.4	correction=1.03
1760	4	27	24	0	day	14.3	correction=1.02
1760	4	28	24	0	day	12.2	correction=1.01
1760	4	29	24	0	day	15.4	correction=1
1760	4	30	24	0	day	13.3	correction=0.99
1760	5	1	24	0	day	15.4	correction=0.97
1760	5	2	24	0	day	10.3	correction=0.96
1760	5	3	24	0	day	12.2	correction=0.95
1760	5	4	24	0	day	16.4	correction=0.93
1760	5	5	24	0	day	17.4	correction=0.92
1760	5	6	24	0	day	17.5	correction=0.9
1760	5	7	24	0	day	17.5	correction=0.89
1760	5	8	24	0	day	18.5	correction=0.87
1760	5	9	24	0	day	18.5	correction=0.86
1760	5	10	24	0	day	18.4	correction=0.84
1760	5	11	24	0	day	14.4	correction=0.83
1760	5	12	24	0	day	14.4	correction=0.81
1760	5	13	24	0	day	13.3	correction=0.79
1760	5	14	24	0	day	12.3	correction=0.77
1760	5	15	24	0	day	9.2	correction=0.76
1760	5	16	24	0	day	9.1	correction=0.74
1760	5	17	24	0	day	13.8	correction=0.72
1760	5	18	24	0	day	16.4	correction=0.7
1760	5	19	24	0	day	16.5	correction=0.68
1760	5	20	24	0	day	12.3	correction=0.66
1760	5	21	24	0	day	10.2	correction=0.64
1760	5	22	24	0	day	13.3	correction=0.62
1760	5	23	24	0	day	10.2	correction=0.6
1760	5	24	24	0	day	11.3	correction=0.58
1760	5	25	24	0	day	12.3	correction=0.56
1760	5	26	24	0	day	15.4	correction=0.54
1760	5	27	24	0	day	15.4	correction=0.51
1760	5	28	24	0	day	16.4	correction=0.49
1760	5	29	24	0	day	17.4	correction=0.47
1760	5	30	24	0	day	19.4	correction=0.44
1760	5	31	24	0	day	17.4	correction=0.42
1760	7	1	24	0	day	18.3	correction=-0.43
1760	7	2	24	0	day	20.1	correction=-0.46
1760	7	3	24	0	day	20	correction=-0.5
1760	7	4	24	0	day	21.4	correction=-0.53
1760	7	5	24	0	day	23.6	correction=-0.56
1760	7	6	24	0	day	21.3	correction=-0.59
1760	7	7	24	0	day	20.7	correction=-0.62
1760	7	8	24	0	day	20.4	correction=-0.65
1760	7	9	24	0	day	16	correction=-0.68
1760	7	10	24	0	day	15.9	correction=-0.71
1760	7	11	24	0	day	15.1	correction=-0.73
1760	7	12	24	0	day	12.3	correction=-0.76
1760	7	13	24	0	day	14	correction=-0.79
1760	7	14	24	0	day	17.2	correction=-0.82
1760	7	15	24	0	day	17.9	correction=-0.85
1760	7	16	24	0	day	19.9	correction=-0.88
1760	7	17	24	0	day	21	correction=-0.91
1760	7	18	24	0	day	21.8	correction=-0.94
1760	7	19	24	0	day	23.1	correction=-0.97
