SEF	1.0.0
ID	Zurich_NGZ
Name	Zürich
Lat	47.37063
Lon	8.54664
Alt	435
Source	GCOS
Link	
Vbl	ta
Stat	mean
Units	C
Meta	Observer=Ulrich, Hofmeister|QC software=dataresqc v1.1.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1836	1	NA	NA	NA	month	-1.9	
1836	2	NA	NA	NA	month	-0.1	
1836	3	NA	NA	NA	month	6.6	
1836	4	NA	NA	NA	month	7.6	
1836	5	NA	NA	NA	month	11.2	
1836	6	NA	NA	NA	month	16.9	
1836	7	NA	NA	NA	month	19.1	
1836	8	NA	NA	NA	month	18.3	
1836	9	NA	NA	NA	month	12.8	
1836	10	NA	NA	NA	month	8.9	
1836	11	NA	NA	NA	month	4	
1836	12	NA	NA	NA	month	1.5	
1837	1	NA	NA	NA	month	-1.6	
1837	2	NA	NA	NA	month	0	
1837	3	NA	NA	NA	month	0.3	
1837	4	NA	NA	NA	month	5.8	
1837	5	NA	NA	NA	month	9.9	
1837	6	NA	NA	NA	month	18.1	
1837	7	NA	NA	NA	month	18.2	
1837	8	NA	NA	NA	month	20	
1837	9	NA	NA	NA	month	12.1	
1837	10	NA	NA	NA	month	9.1	
1837	11	NA	NA	NA	month	3.3	
1837	12	NA	NA	NA	month	0.9	
1838	1	NA	NA	NA	month	-6.1	
1838	2	NA	NA	NA	month	-0.8	
1838	3	NA	NA	NA	month	4.1	
1838	4	NA	NA	NA	month	5.6	
1838	5	NA	NA	NA	month	13.3	
1838	6	NA	NA	NA	month	16.2	
1838	7	NA	NA	NA	month	17.9	
1838	8	NA	NA	NA	month	16.2	
1838	9	NA	NA	NA	month	14.4	
1838	10	NA	NA	NA	month	9.3	
1838	11	NA	NA	NA	month	5.4	
1838	12	NA	NA	NA	month	-0.2	
1839	1	NA	NA	NA	month	-1.1	
1839	2	NA	NA	NA	month	0.9	
1839	3	NA	NA	NA	month	2.8	
1839	4	NA	NA	NA	month	5.7	
1839	5	NA	NA	NA	month	12.2	
1839	6	NA	NA	NA	month	19	
1839	7	NA	NA	NA	month	16.6	
1839	8	NA	NA	NA	month	15.8	
1839	9	NA	NA	NA	month	14.2	
1839	10	NA	NA	NA	month	11.1	
1839	11	NA	NA	NA	month	6	
1839	12	NA	NA	NA	month	3.4	
1840	1	NA	NA	NA	month	0.8	
1840	2	NA	NA	NA	month	-0.3	
1840	3	NA	NA	NA	month	0.2	
1840	4	NA	NA	NA	month	10.4	
1840	5	NA	NA	NA	month	13.5	
1840	6	NA	NA	NA	month	16.5	
1840	7	NA	NA	NA	month	15.9	
1840	8	NA	NA	NA	month	17.8	
1840	9	NA	NA	NA	month	14.2	
1840	10	NA	NA	NA	month	7	
1840	11	NA	NA	NA	month	6	
1840	12	NA	NA	NA	month	-4.7	
1841	1	NA	NA	NA	month	-1.4	
1841	2	NA	NA	NA	month	-1	
1841	3	NA	NA	NA	month	5.7	
1841	4	NA	NA	NA	month	8.7	
1841	5	NA	NA	NA	month	16.9	
1841	6	NA	NA	NA	month	14.7	
1841	7	NA	NA	NA	month	16.1	
1841	8	NA	NA	NA	month	16.5	
1841	9	NA	NA	NA	month	15.3	
1841	10	NA	NA	NA	month	10.7	
1841	11	NA	NA	NA	month	4.9	
1841	12	NA	NA	NA	month	3.2	
1842	1	NA	NA	NA	month	-3.6	
1842	2	NA	NA	NA	month	-3.2	
1842	3	NA	NA	NA	month	4.7	
1842	4	NA	NA	NA	month	8.4	
1842	5	NA	NA	NA	month	14.2	
1842	6	NA	NA	NA	month	18.8	
1842	7	NA	NA	NA	month	17.9	
1842	8	NA	NA	NA	month	19.6	
1842	9	NA	NA	NA	month	13.4	
1842	10	NA	NA	NA	month	6.2	
