SEF	1.0.0
ID	Zurich_NGZ
Name	Zürich
Lat	47.37063
Lon	8.54664
Alt	435
Source	GCOS
Link	
Vbl	ta
Stat	mean
Units	C
Meta	Observer=Ulrich, Hofmeister|QC software=dataresqc v1.1.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1836	1	1	24	0	day	-8.3	correction=-0.62
1836	1	2	24	0	day	-11.7	correction=-0.62
1836	1	3	24	0	day	-9.9	correction=-0.62
1836	1	4	24	0	day	-3.7	correction=-0.62
1836	1	5	24	0	day	0.6	correction=-0.62
1836	1	6	24	0	day	1.2	correction=-0.62
1836	1	7	24	0	day	-1.7	correction=-0.62
1836	1	8	24	0	day	-4.3	correction=-0.62
1836	1	9	24	0	day	-3.4	correction=-0.62
1836	1	10	24	0	day	-4.4	correction=-0.62
1836	1	11	24	0	day	-1.4	correction=-0.62
1836	1	12	24	0	day	1.9	correction=-0.62
1836	1	13	24	0	day	1.9	correction=-0.62
1836	1	14	24	0	day	0.9	correction=-0.62
1836	1	15	24	0	day	-1.5	correction=-0.62
1836	1	16	24	0	day	1.2	correction=-0.62
1836	1	17	24	0	day	-2.1	correction=-0.62
1836	1	18	24	0	day	-5.5	correction=-0.62
1836	1	19	24	0	day	-0.5	correction=-0.62
1836	1	20	24	0	day	-6.7	correction=-0.62
1836	1	21	24	0	day	-6.9	correction=-0.62
1836	1	22	24	0	day	-4.7	correction=-0.62
1836	1	23	24	0	day	0.3	correction=-0.62
1836	1	24	24	0	day	5.5	correction=-0.62
1836	1	25	24	0	day	1.3	correction=-0.62
1836	1	26	24	0	day	0.8	correction=-0.62
1836	1	27	24	0	day	-1.5	correction=-0.62
1836	1	28	24	0	day	-1.2	correction=-0.62
1836	1	29	24	0	day	1.6	correction=-0.62
1836	1	30	24	0	day	1.5	correction=-0.62
1836	1	31	24	0	day	0.6	correction=-0.62
1836	2	1	24	0	day	4.9	correction=-0.62
1836	2	2	24	0	day	2.3	correction=-0.62
1836	2	3	24	0	day	0.6	correction=-0.62
1836	2	4	24	0	day	1.8	correction=-0.62
1836	2	5	24	0	day	1.3	correction=-0.62
1836	2	6	24	0	day	2.2	correction=-0.62
1836	2	7	24	0	day	2.3	correction=-0.62
1836	2	8	24	0	day	-0.8	correction=-0.62
1836	2	9	24	0	day	0.9	correction=-0.62
1836	2	10	24	0	day	4.1	correction=-0.62
1836	2	11	24	0	day	2.9	correction=-0.62
1836	2	12	24	0	day	0.5	correction=-0.62
1836	2	13	24	0	day	-2.8	correction=-0.62
1836	2	14	24	0	day	-4.2	correction=-0.62
1836	2	15	24	0	day	-0.7	correction=-0.62
1836	2	16	24	0	day	-1.3	correction=-0.62
1836	2	17	24	0	day	0.8	correction=-0.62
1836	2	18	24	0	day	-2.8	correction=-0.62
1836	2	19	24	0	day	0.8	correction=-0.62
1836	2	20	24	0	day	-0.8	correction=-0.62
1836	2	21	24	0	day	-1.3	correction=-0.62
1836	2	22	24	0	day	-4.3	correction=-0.62
1836	2	23	24	0	day	-4.8	correction=-0.62
1836	2	24	24	0	day	-3.4	correction=-0.62
1836	2	25	24	0	day	-3.3	correction=-0.62
1836	2	26	24	0	day	-1.3	correction=-0.62
1836	2	27	24	0	day	0.9	correction=-0.62
1836	2	28	24	0	day	2.1	correction=-0.62
1836	2	29	24	0	day	1.9	correction=-0.62
1836	3	1	24	0	day	-0.9	correction=-0.62
1836	3	2	24	0	day	5	correction=-0.62
1836	3	3	24	0	day	3.9	correction=-0.62
1836	3	4	24	0	day	6.6	correction=-0.62
1836	3	5	24	0	day	7.6	correction=-0.62
1836	3	6	24	0	day	6.2	correction=-0.62
1836	3	7	24	0	day	6.7	correction=-0.62
1836	3	8	24	0	day	4.1	correction=-0.62
1836	3	9	24	0	day	3.6	correction=-0.62
1836	3	10	24	0	day	5.1	correction=-0.62
1836	3	11	24	0	day	5	correction=-0.62
1836	3	12	24	0	day	6.8	correction=-0.62
1836	3	13	24	0	day	6.6	correction=-0.62
1836	3	14	24	0	day	7.9	correction=-0.62
1836	3	15	24	0	day	12.2	correction=-0.62
1836	3	16	24	0	day	4.6	correction=-0.62
1836	3	17	24	0	day	4.9	correction=-0.62
1836	3	18	24	0	day	7.5	correction=-0.62
1836	3	19	24	0	day	8.3	correction=-0.62
1836	3	20	24	0	day	9	correction=-0.62
1836	3	21	24	0	day	10	correction=-0.62
1836	3	22	24	0	day	12.2	correction=-0.62
1836	3	23	24	0	day	13.3	correction=-0.62
1836	3	24	24	0	day	8.3	correction=-0.62
1836	3	25	24	0	day	8.9	correction=-0.62
1836	3	26	24	0	day	5.1	correction=-0.62
1836	3	27	24	0	day	3	correction=-0.62
1836	3	28	24	0	day	3.7	correction=-0.62
1836	3	29	24	0	day	3.7	correction=-0.62
1836	3	30	24	0	day	5.2	correction=-0.62
1836	3	31	24	0	day	9	correction=-0.62
1836	4	1	24	0	day	6.5	correction=-0.62
1836	4	2	24	0	day	4.2	correction=-0.62
1836	4	3	24	0	day	1.3	correction=-0.62
1836	4	4	24	0	day	1.9	correction=-0.62
1836	4	5	24	0	day	1.4	correction=-0.62
1836	4	6	24	0	day	2.2	correction=-0.62
1836	4	7	24	0	day	4.6	correction=-0.62
1836	4	8	24	0	day	8.7	correction=-0.62
1836	4	9	24	0	day	8.1	correction=-0.62
1836	4	10	24	0	day	6.5	correction=-0.62
1836	4	11	24	0	day	3.6	correction=-0.62
1836	4	12	24	0	day	4.6	correction=-0.62
1836	4	13	24	0	day	7.6	correction=-0.62
1836	4	14	24	0	day	6.9	correction=-0.62
1836	4	15	24	0	day	4.6	correction=-0.62
1836	4	16	24	0	day	6.3	correction=-0.62
1836	4	17	24	0	day	6.1	correction=-0.62
1836	4	18	24	0	day	8.8	correction=-0.62
1836	4	19	24	0	day	10.5	correction=-0.62
1836	4	20	24	0	day	10	correction=-0.62
1836	4	21	24	0	day	10.9	correction=-0.62
1836	4	22	24	0	day	11.9	correction=-0.62
1836	4	23	24	0	day	12.8	correction=-0.62
1836	4	24	24	0	day	13.7	correction=-0.62
1836	4	25	24	0	day	14.6	correction=-0.62
1836	4	26	24	0	day	14.7	correction=-0.62
1836	4	27	24	0	day	13.5	correction=-0.62
1836	4	28	24	0	day	11.8	correction=-0.62
1836	4	29	24	0	day	7.1	correction=-0.62
1836	4	30	24	0	day	2.9	correction=-0.62
1836	5	1	24	0	day	2.6	correction=-0.62
1836	5	2	24	0	day	5.8	correction=-0.62
1836	5	3	24	0	day	7.2	correction=-0.62
1836	5	4	24	0	day	9.1	correction=-0.62
1836	5	5	24	0	day	10.7	correction=-0.62
1836	5	6	24	0	day	11	correction=-0.62
1836	5	7	24	0	day	10.1	correction=-0.62
1836	5	8	24	0	day	11.6	correction=-0.62
1836	5	9	24	0	day	10.9	correction=-0.62
1836	5	10	24	0	day	6.8	correction=-0.62
1836	5	11	24	0	day	6.5	correction=-0.62
1836	5	12	24	0	day	9.8	correction=-0.62
1836	5	13	24	0	day	12.3	correction=-0.62
1836	5	14	24	0	day	14	correction=-0.62
1836	5	15	24	0	day	13	correction=-0.62
1836	5	16	24	0	day	11.1	correction=-0.62
1836	5	17	24	0	day	14.3	correction=-0.62
1836	5	18	24	0	day	16.3	correction=-0.62
1836	5	19	24	0	day	17.8	correction=-0.62
1836	5	20	24	0	day	16.7	correction=-0.62
1836	5	21	24	0	day	16.2	correction=-0.62
1836	5	22	24	0	day	16	correction=-0.62
1836	5	23	24	0	day	15.1	correction=-0.62
1836	5	24	24	0	day	14.7	correction=-0.62
1836	5	25	24	0	day	12.5	correction=-0.62
1836	5	26	24	0	day	9.6	correction=-0.62
1836	5	27	24	0	day	6.4	correction=-0.62
1836	5	28	24	0	day	7.4	correction=-0.62
1836	5	29	24	0	day	9.9	correction=-0.62
1836	5	30	24	0	day	11	correction=-0.62
1836	5	31	24	0	day	10.5	correction=-0.62
1836	6	1	24	0	day	13.7	correction=-0.62
1836	6	2	24	0	day	12.9	correction=-0.62
1836	6	3	24	0	day	16.3	correction=-0.62
1836	6	4	24	0	day	14.7	correction=-0.62
1836	6	5	24	0	day	12.5	correction=-0.62
1836	6	6	24	0	day	10.9	correction=-0.62
1836	6	7	24	0	day	13.6	correction=-0.62
1836	6	8	24	0	day	14.7	correction=-0.62
1836	6	9	24	0	day	13.9	correction=-0.62
1836	6	10	24	0	day	15.9	correction=-0.62
1836	6	11	24	0	day	18.1	correction=-0.62
1836	6	12	24	0	day	13	correction=-0.62
1836	6	13	24	0	day	14.1	correction=-0.62
1836	6	14	24	0	day	17	correction=-0.62
1836	6	15	24	0	day	18.8	correction=-0.62
1836	6	16	24	0	day	20.2	correction=-0.62
1836	6	17	24	0	day	20.2	correction=-0.62
1836	6	18	24	0	day	16.1	correction=-0.62
1836	6	19	24	0	day	16	correction=-0.62
1836	6	20	24	0	day	13.1	correction=-0.62
1836	6	21	24	0	day	15	correction=-0.62
1836	6	22	24	0	day	17.3	correction=-0.62
1836	6	23	24	0	day	20	correction=-0.62
1836	6	24	24	0	day	22.4	correction=-0.62
1836	6	25	24	0	day	20	correction=-0.62
1836	6	26	24	0	day	19.3	correction=-0.62
1836	6	27	24	0	day	18.9	correction=-0.62
1836	6	28	24	0	day	20.1	correction=-0.62
1836	6	29	24	0	day	23.7	correction=-0.62
1836	6	30	24	0	day	23.2	correction=-0.62
1836	7	1	24	0	day	22.7	correction=-0.62
1836	7	2	24	0	day	22.6	correction=-0.62
1836	7	3	24	0	day	24.5	correction=-0.62
1836	7	4	24	0	day	23.6	correction=-0.62
1836	7	5	24	0	day	21.9	correction=-0.62
1836	7	6	24	0	day	21.9	correction=-0.62
1836	7	7	24	0	day	22.2	correction=-0.62
1836	7	8	24	0	day	21.2	correction=-0.62
1836	7	9	24	0	day	21.8	correction=-0.62
1836	7	10	24	0	day	21.3	correction=-0.62
1836	7	11	24	0	day	21.4	correction=-0.62
1836	7	12	24	0	day	22.8	correction=-0.62
1836	7	13	24	0	day	18.3	correction=-0.62
1836	7	14	24	0	day	19.7	correction=-0.62
1836	7	15	24	0	day	20.7	correction=-0.62
1836	7	16	24	0	day	18.1	correction=-0.62
1836	7	17	24	0	day	18.9	correction=-0.62
1836	7	18	24	0	day	19.5	correction=-0.62
1836	7	19	24	0	day	20	correction=-0.62
1836	7	20	24	0	day	22.7	correction=-0.62
1836	7	21	24	0	day	13.1	correction=-0.62
1836	7	22	24	0	day	13.1	correction=-0.62
1836	7	23	24	0	day	15	correction=-0.62
1836	7	24	24	0	day	11.7	correction=-0.62
1836	7	25	24	0	day	14.1	correction=-0.62
1836	7	26	24	0	day	13.3	correction=-0.62
1836	7	27	24	0	day	14	correction=-0.62
1836	7	28	24	0	day	18.3	correction=-0.62
1836	7	29	24	0	day	21.3	correction=-0.62
1836	7	30	24	0	day	17.9	correction=-0.62
1836	7	31	24	0	day	13.4	correction=-0.62
1836	8	1	24	0	day	15.3	correction=-0.62
1836	8	2	24	0	day	15.4	correction=-0.62
1836	8	3	24	0	day	17.4	correction=-0.62
1836	8	4	24	0	day	20.7	correction=-0.62
1836	8	5	24	0	day	20.4	correction=-0.62
1836	8	6	24	0	day	18.3	correction=-0.62
1836	8	7	24	0	day	17.7	correction=-0.62
1836	8	8	24	0	day	18.1	correction=-0.62
1836	8	9	24	0	day	19.8	correction=-0.62
1836	8	10	24	0	day	19.8	correction=-0.62
1836	8	11	24	0	day	19.1	correction=-0.62
1836	8	12	24	0	day	20	correction=-0.62
1836	8	13	24	0	day	21.5	correction=-0.62
1836	8	14	24	0	day	21.6	correction=-0.62
1836	8	15	24	0	day	20	correction=-0.62
1836	8	16	24	0	day	17.5	correction=-0.62
1836	8	17	24	0	day	18.8	correction=-0.62
1836	8	18	24	0	day	19.6	correction=-0.62
1836	8	19	24	0	day	16.6	correction=-0.62
1836	8	20	24	0	day	14.5	correction=-0.62
1836	8	21	24	0	day	15.4	correction=-0.62
1836	8	22	24	0	day	16.7	correction=-0.62
1836	8	23	24	0	day	18.1	correction=-0.62
