SEF	1.0.0
ID	Zurich_Ott
Name	Zürich
Lat	47.39558
Lon	8.53264
Alt	460
Source	GCOS
Link	
Vbl	ta
Stat	mean
Units	C
Meta	Observer=Ott|QC software=dataresqc v1.1.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1756	7	NA	NA	NA	month	NA	
1756	8	NA	NA	NA	month	16.6	
1756	9	NA	NA	NA	month	14.4	
1756	10	NA	NA	NA	month	8.1	
1756	11	NA	NA	NA	month	3	
1756	12	NA	NA	NA	month	-1.5	
1757	1	NA	NA	NA	month	-1.4	
1757	2	NA	NA	NA	month	0.1	
1757	3	NA	NA	NA	month	3.5	
1757	4	NA	NA	NA	month	9.7	
1757	5	NA	NA	NA	month	12.7	
1757	6	NA	NA	NA	month	17.1	
1757	7	NA	NA	NA	month	19.8	
1757	8	NA	NA	NA	month	16.5	
1757	9	NA	NA	NA	month	11.1	
1757	10	NA	NA	NA	month	4.4	
1757	11	NA	NA	NA	month	5	
1757	12	NA	NA	NA	month	0.1	
1758	1	NA	NA	NA	month	-3.2	
1758	2	NA	NA	NA	month	1.4	
1758	3	NA	NA	NA	month	6	
1758	4	NA	NA	NA	month	7.5	
1758	5	NA	NA	NA	month	13.3	
1758	6	NA	NA	NA	month	16.8	
1758	7	NA	NA	NA	month	14.6	
1758	8	NA	NA	NA	month	16.2	
1758	9	NA	NA	NA	month	12.1	
1758	10	NA	NA	NA	month	6.7	
1758	11	NA	NA	NA	month	3.9	
1758	12	NA	NA	NA	month	2.7	
1759	1	NA	NA	NA	month	1.7	
1759	2	NA	NA	NA	month	4	
1759	3	NA	NA	NA	month	5.8	
1759	4	NA	NA	NA	month	10.2	
1759	5	NA	NA	NA	month	13.2	
1759	6	NA	NA	NA	month	15.5	
1759	7	NA	NA	NA	month	19.6	
1759	8	NA	NA	NA	month	16.8	
1759	9	NA	NA	NA	month	14.3	
1759	10	NA	NA	NA	month	10.2	
1759	11	NA	NA	NA	month	1.6	
1759	12	NA	NA	NA	month	0.9	
1760	1	NA	NA	NA	month	1	
1760	2	NA	NA	NA	month	2.7	
1760	3	NA	NA	NA	month	4	
1760	4	NA	NA	NA	month	11.2	
1760	5	NA	NA	NA	month	13.8	
1760	6	NA	NA	NA	month	17.6	
1760	7	NA	NA	NA	month	18.6	
1760	8	NA	NA	NA	month	17.2	
1760	9	NA	NA	NA	month	14.6	
1760	10	NA	NA	NA	month	9	
1760	11	NA	NA	NA	month	5.6	
1760	12	NA	NA	NA	month	4.9	
1761	1	NA	NA	NA	month	-1.3	
1761	2	NA	NA	NA	month	4.7	
1761	3	NA	NA	NA	month	7.1	
1761	4	NA	NA	NA	month	8.5	
1761	5	NA	NA	NA	month	14.3	
1761	6	NA	NA	NA	month	17.3	
1761	7	NA	NA	NA	month	18.6	
1761	8	NA	NA	NA	month	18.8	
1761	9	NA	NA	NA	month	15	
1761	10	NA	NA	NA	month	7.2	
1761	11	NA	NA	NA	month	4.1	
1761	12	NA	NA	NA	month	-2.7	
1762	1	NA	NA	NA	month	2.5	
1762	2	NA	NA	NA	month	2.3	
1762	3	NA	NA	NA	month	NA	
1762	4	NA	NA	NA	month	11	
1762	5	NA	NA	NA	month	15.1	
1762	6	NA	NA	NA	month	15.6	
1762	7	NA	NA	NA	month	19.1	
1762	8	NA	NA	NA	month	16.6	
1762	9	NA	NA	NA	month	13.4	
1762	10	NA	NA	NA	month	6.8	
1762	11	NA	NA	NA	month	3.4	
1762	12	NA	NA	NA	month	-3.3	
1763	1	NA	NA	NA	month	NA	
1763	2	NA	NA	NA	month	NA	
1763	3	NA	NA	NA	month	NA	
1763	4	NA	NA	NA	month	NA	
1763	5	NA	NA	NA	month	12.1	
1763	6	NA	NA	NA	month	NA	
1763	7	NA	NA	NA	month	18.5	
1763	8	NA	NA	NA	month	18.8	
1763	9	NA	NA	NA	month	12.5	
1763	10	NA	NA	NA	month	6.6	
1763	11	NA	NA	NA	month	3.7	
1763	12	NA	NA	NA	month	NA	
1764	1	NA	NA	NA	month	NA	
1764	2	NA	NA	NA	month	4.6	
1764	3	NA	NA	NA	month	3.1	
1764	4	NA	NA	NA	month	7.3	
1764	5	NA	NA	NA	month	14.3	
1764	6	NA	NA	NA	month	17	
1764	7	NA	NA	NA	month	18.9	
1764	8	NA	NA	NA	month	15.8	
1764	9	NA	NA	NA	month	12	
1764	10	NA	NA	NA	month	7.1	
1764	11	NA	NA	NA	month	5	
1764	12	NA	NA	NA	month	3	
1765	1	NA	NA	NA	month	2.7	
1765	2	NA	NA	NA	month	0.2	
1765	3	NA	NA	NA	month	7.5	
1765	4	NA	NA	NA	month	9	
