SEF	1.0.0
ID	Zurich_SNG
Name	Zürich
Lat	47.37078
Lon	8.53708
Alt	415
Source	GCOS
Link	NA
Vbl	ta
Stat	mean
Units	C
Meta	Observer=Nüscheler | Address=Haus 414
Year	Month	Day	Hour	Minute	Period	Value	Meta
1831	2	NA	NA	NA	month	NA	
1831	3	NA	NA	NA	month	6.4	
1831	4	NA	NA	NA	month	10.3	
1831	5	NA	NA	NA	month	13.1	
1831	6	NA	NA	NA	month	15.4	
1831	7	NA	NA	NA	month	17.6	
1831	8	NA	NA	NA	month	17.4	
1831	9	NA	NA	NA	month	12.7	
1831	10	NA	NA	NA	month	11.9	
1831	11	NA	NA	NA	month	5.3	
1831	12	NA	NA	NA	month	1.1	
1832	1	NA	NA	NA	month	-1.4	
1832	2	NA	NA	NA	month	0.1	
1832	3	NA	NA	NA	month	3.6	
