SEF	1.0.0
ID	Zurich_SNG
Name	Zürich
Lat	47.37078
Lon	8.53708
Alt	415
Source	GCOS
Link	NA
Vbl	ta
Stat	mean
Units	C
Meta	Observer=Nüscheler | Address=Haus 414
Year	Month	Day	Hour	Minute	Period	Value	Meta
1831	2	25	24	0	day	-1.1	correction=-1.29
1831	2	26	24	0	day	3	correction=-1.3
1831	2	27	24	0	day	3.6	correction=-1.3
1831	2	28	24	0	day	3.3	correction=-1.3
1831	3	1	24	0	day	2.8	correction=-1.3
1831	3	2	24	0	day	3.2	correction=-1.31
1831	3	3	24	0	day	5.5	correction=-1.31
1831	3	4	24	0	day	7.5	correction=-1.31
1831	3	5	24	0	day	6.9	correction=-1.31
1831	3	6	24	0	day	6.9	correction=-1.32
1831	3	7	24	0	day	6.7	correction=-1.32
1831	3	8	24	0	day	6.3	correction=-1.32
1831	3	9	24	0	day	5.9	correction=-1.32
1831	3	10	24	0	day	5.2	correction=-1.33
1831	3	11	24	0	day	5.7	correction=-1.33
1831	3	12	24	0	day	6.1	correction=-1.33
1831	3	13	24	0	day	6	correction=-1.33
1831	3	14	24	0	day	7.3	correction=-1.34
1831	3	15	24	0	day	6.3	correction=-1.34
1831	3	16	24	0	day	6.7	correction=-1.34
1831	3	17	24	0	day	9.6	correction=-1.35
1831	3	18	24	0	day	10	correction=-1.35
1831	3	19	24	0	day	6	correction=-1.35
1831	3	20	24	0	day	5.3	correction=-1.36
1831	3	21	24	0	day	5.4	correction=-1.36
1831	3	22	24	0	day	2.9	correction=-1.36
1831	3	23	24	0	day	1.3	correction=-1.37
1831	3	24	24	0	day	2.4	correction=-1.37
1831	3	25	24	0	day	6.2	correction=-1.38
1831	3	26	24	0	day	8.3	correction=-1.38
1831	3	27	24	0	day	9.4	correction=-1.39
1831	3	28	24	0	day	10.4	correction=-1.39
1831	3	29	24	0	day	8.9	correction=-1.39
1831	3	30	24	0	day	10.3	correction=-1.4
1831	3	31	24	0	day	6.6	correction=-1.4
1831	4	1	24	0	day	4.5	correction=-1.41
1831	4	2	24	0	day	6.5	correction=-1.42
1831	4	3	24	0	day	6.9	correction=-1.42
1831	4	4	24	0	day	9	correction=-1.43
1831	4	5	24	0	day	9.8	correction=-1.43
1831	4	6	24	0	day	10.4	correction=-1.44
1831	4	7	24	0	day	11.9	correction=-1.44
1831	4	8	24	0	day	13.2	correction=-1.45
1831	4	9	24	0	day	13	correction=-1.46
1831	4	10	24	0	day	13.1	correction=-1.46
1831	4	11	24	0	day	14.2	correction=-1.47
1831	4	12	24	0	day	14.8	correction=-1.48
1831	4	13	24	0	day	15.1	correction=-1.48
1831	4	14	24	0	day	14.9	correction=-1.49
1831	4	15	24	0	day	10.8	correction=-1.5
1831	4	16	24	0	day	9.6	correction=-1.5
1831	4	17	24	0	day	7.6	correction=-1.51
1831	4	18	24	0	day	3.7	correction=-1.52
1831	4	19	24	0	day	5.9	correction=-1.53
1831	4	20	24	0	day	7.3	correction=-1.54
1831	4	21	24	0	day	9.5	correction=-1.54
1831	4	22	24	0	day	11.6	correction=-1.55
1831	4	23	24	0	day	11.9	correction=-1.56
1831	4	24	24	0	day	10	correction=-1.57
1831	4	25	24	0	day	10.5	correction=-1.58
1831	4	26	24	0	day	10.2	correction=-1.59
